day,cases,cases_new,growth,date
33,1,1,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,4,3,4.0,2020-03-08
47,4,0,1.0,2020-03-09
48,5,1,1.25,2020-03-10
49,7,2,1.4,2020-03-11
50,7,0,1.0,2020-03-12
51,7,0,1.0,2020-03-13
52,11,4,1.571,2020-03-14
53,16,5,1.454,2020-03-15
54,21,5,1.312,2020-03-16
55,22,1,1.047,2020-03-17
56,22,0,1.0,2020-03-18
57,22,0,1.0,2020-03-19
58,24,2,1.090,2020-03-20
59,24,0,1.0,2020-03-21
60,40,16,1.666,2020-03-22
61,40,0,1.0,2020-03-23
62,74,34,1.85,2020-03-24
63,84,10,1.135,2020-03-25
64,94,10,1.119,2020-03-26
65,110,16,1.170,2020-03-27
66,110,0,1.0,2020-03-28
67,120,10,1.090,2020-03-29
68,170,50,1.416,2020-03-30
69,174,4,1.023,2020-03-31
70,237,63,1.362,2020-04-01
71,273,36,1.151,2020-04-02
72,281,8,1.029,2020-04-03
73,299,18,1.064,2020-04-04
74,349,50,1.167,2020-04-05
75,367,18,1.051,2020-04-06
76,423,56,1.152,2020-04-07
77,444,21,1.049,2020-04-08
78,484,40,1.090,2020-04-09
79,521,37,1.076,2020-04-10
80,555,34,1.065,2020-04-11
81,607,52,1.093,2020-04-12
82,665,58,1.095,2020-04-13
83,714,49,1.073,2020-04-14
84,784,70,1.098,2020-04-15
85,840,56,1.071,2020-04-16
86,906,66,1.078,2020-04-17
87,933,27,1.029,2020-04-18
88,996,63,1.067,2020-04-19
89,1026,30,1.030,2020-04-20
90,1092,66,1.064,2020-04-21
91,1176,84,1.076,2020-04-22
92,1279,103,1.087,2020-04-23
93,1351,72,1.056,2020-04-24
94,1463,112,1.082,2020-04-25
95,1531,68,1.046,2020-04-26
96,1703,172,1.112,2020-04-27
97,1828,125,1.073,2020-04-28
98,1939,111,1.060,2020-04-29
99,2171,232,1.119,2020-04-30
100,2335,164,1.075,2020-05-01
101,2469,134,1.057,2020-05-02
102,2704,235,1.095,2020-05-03
103,2894,190,1.070,2020-05-04
104,3224,330,1.114,2020-05-05
105,3392,168,1.052,2020-05-06
106,3563,171,1.050,2020-05-07
107,3778,215,1.060,2020-05-08
108,4033,255,1.067,2020-05-09
109,4402,369,1.091,2020-05-10
110,4687,285,1.064,2020-05-11
111,4963,276,1.058,2020-05-12
112,5226,263,1.052,2020-05-13
113,5639,413,1.079,2020-05-14
114,6053,414,1.073,2020-05-15
115,6402,349,1.057,2020-05-16
116,6664,262,1.040,2020-05-17
117,7072,408,1.061,2020-05-18
118,7653,581,1.082,2020-05-19
119,8145,492,1.064,2020-05-20
120,8676,531,1.065,2020-05-21
121,9216,540,1.062,2020-05-22
122,9998,782,1.084,2020-05-23
123,10582,584,1.058,2020-05-24
