day,cases,cases_new,growth,date
47,2,2,1.0,2020-03-09
48,10,8,5.0,2020-03-10
49,12,2,1.2,2020-03-11
50,23,11,1.916,2020-03-12
51,33,10,1.434,2020-03-13
52,38,5,1.151,2020-03-14
53,42,4,1.105,2020-03-15
54,51,9,1.214,2020-03-16
55,55,4,1.078,2020-03-17
56,59,4,1.072,2020-03-18
57,64,5,1.084,2020-03-19
58,70,6,1.093,2020-03-20
59,76,6,1.085,2020-03-21
60,89,13,1.171,2020-03-22
61,104,15,1.168,2020-03-23
62,123,19,1.182,2020-03-24
63,146,23,1.186,2020-03-25
64,174,28,1.191,2020-03-26
65,186,12,1.068,2020-03-27
66,197,11,1.059,2020-03-28
67,212,15,1.076,2020-03-29
68,223,11,1.051,2020-03-30
69,243,20,1.089,2020-03-31
70,259,16,1.065,2020-04-01
71,277,18,1.069,2020-04-02
72,304,27,1.097,2020-04-03
73,333,29,1.095,2020-04-04
74,361,28,1.084,2020-04-05
75,377,16,1.044,2020-04-06
76,383,6,1.015,2020-04-07
77,400,17,1.044,2020-04-08
78,409,9,1.022,2020-04-09
79,416,7,1.017,2020-04-10
80,433,17,1.040,2020-04-11
81,446,13,1.030,2020-04-12
82,467,21,1.047,2020-04-13
83,475,8,1.017,2020-04-14
84,494,19,1.04,2020-04-15
85,518,24,1.048,2020-04-16
86,539,21,1.040,2020-04-17
87,548,9,1.016,2020-04-18
88,562,14,1.025,2020-04-19
89,584,22,1.039,2020-04-20
90,609,25,1.042,2020-04-21
91,634,25,1.041,2020-04-22
92,663,29,1.045,2020-04-23
93,678,15,1.022,2020-04-24
94,712,34,1.050,2020-04-25
95,726,14,1.019,2020-04-26
96,736,10,1.013,2020-04-27
97,750,14,1.019,2020-04-28
98,766,16,1.021,2020-04-29
99,773,7,1.009,2020-04-30
100,782,9,1.011,2020-05-01
101,789,7,1.008,2020-05-02
102,795,6,1.007,2020-05-03
103,803,8,1.010,2020-05-04
104,820,17,1.021,2020-05-05
105,832,12,1.014,2020-05-06
106,842,10,1.012,2020-05-07
107,850,8,1.009,2020-05-08
108,856,6,1.007,2020-05-09
109,868,12,1.014,2020-05-10
110,872,4,1.004,2020-05-11
111,876,4,1.004,2020-05-12
112,880,4,1.004,2020-05-13
113,898,18,1.020,2020-05-14
114,916,18,1.020,2020-05-15
115,933,17,1.018,2020-05-16
116,946,13,1.013,2020-05-17
117,948,2,1.002,2020-05-18
118,949,1,1.001,2020-05-19
119,964,15,1.015,2020-05-20
120,969,5,1.005,2020-05-21
121,981,12,1.012,2020-05-22
122,989,8,1.008,2020-05-23
123,998,9,1.009,2020-05-24
