day,cases,cases_new,growth,date
34,1,1,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,3,2,3.0,2020-03-02
41,5,2,1.666,2020-03-03
42,12,7,2.4,2020-03-04
43,12,0,1.0,2020-03-05
44,17,5,1.416,2020-03-06
45,17,0,1.0,2020-03-07
46,19,2,1.117,2020-03-08
47,20,1,1.052,2020-03-09
48,20,0,1.0,2020-03-10
49,20,0,1.0,2020-03-11
50,24,4,1.2,2020-03-12
51,26,2,1.083,2020-03-13
52,37,11,1.423,2020-03-14
53,48,11,1.297,2020-03-15
54,54,6,1.125,2020-03-16
55,60,6,1.111,2020-03-17
56,74,14,1.233,2020-03-18
57,87,13,1.175,2020-03-19
58,90,3,1.034,2020-03-20
59,139,49,1.544,2020-03-21
60,201,62,1.446,2020-03-22
61,230,29,1.144,2020-03-23
62,264,34,1.147,2020-03-24
63,302,38,1.143,2020-03-25
64,367,65,1.215,2020-03-26
65,409,42,1.114,2020-03-27
66,454,45,1.110,2020-03-28
67,511,57,1.125,2020-03-29
68,584,73,1.142,2020-03-30
69,716,132,1.226,2020-03-31
70,847,131,1.182,2020-04-01
71,986,139,1.164,2020-04-02
72,1171,185,1.187,2020-04-03
73,1251,80,1.068,2020-04-04
74,1320,69,1.055,2020-04-05
75,1423,103,1.078,2020-04-06
76,1468,45,1.031,2020-04-07
77,1572,104,1.070,2020-04-08
78,1666,94,1.059,2020-04-09
79,1761,95,1.057,2020-04-10
80,1825,64,1.036,2020-04-11
81,1914,89,1.048,2020-04-12
82,1983,69,1.036,2020-04-13
83,2070,87,1.043,2020-04-14
84,2160,90,1.043,2020-04-15
85,2268,108,1.05,2020-04-16
86,2418,150,1.066,2020-04-17
87,2534,116,1.047,2020-04-18
88,2629,95,1.037,2020-04-19
89,2718,89,1.033,2020-04-20
90,2811,93,1.034,2020-04-21
91,2910,99,1.035,2020-04-22
92,3007,97,1.033,2020-04-23
93,3127,120,1.039,2020-04-24
94,3256,129,1.041,2020-04-25
95,3382,126,1.038,2020-04-26
96,3517,135,1.039,2020-04-27
97,3649,132,1.037,2020-04-28
98,3848,199,1.054,2020-04-29
99,4006,158,1.041,2020-04-30
100,4154,148,1.036,2020-05-01
101,4295,141,1.033,2020-05-02
102,4474,179,1.041,2020-05-03
103,4648,174,1.038,2020-05-04
104,4838,190,1.040,2020-05-05
105,4997,159,1.032,2020-05-06
106,5182,185,1.037,2020-05-07
107,5369,187,1.036,2020-05-08
108,5558,189,1.035,2020-05-09
109,5723,165,1.029,2020-05-10
110,5891,168,1.029,2020-05-11
111,6067,176,1.029,2020-05-12
112,6253,186,1.030,2020-05-13
113,6442,189,1.030,2020-05-14
114,6629,187,1.029,2020-05-15
115,6821,192,1.028,2020-05-16
116,7019,198,1.029,2020-05-17
117,7201,182,1.025,2020-05-18
118,7377,176,1.024,2020-05-19
119,7542,165,1.022,2020-05-20
120,7728,186,1.024,2020-05-21
121,7918,190,1.024,2020-05-22
122,8113,195,1.024,2020-05-23
123,8306,193,1.023,2020-05-24
