day,cases,cases_new,growth,date
4,4,4,1.0,2020-01-26
5,5,1,1.25,2020-01-27
6,5,0,1.0,2020-01-28
7,6,1,1.2,2020-01-29
8,9,3,1.5,2020-01-30
9,9,0,1.0,2020-01-31
10,12,3,1.333,2020-02-01
11,12,0,1.0,2020-02-02
12,12,0,1.0,2020-02-03
13,13,1,1.083,2020-02-04
14,13,0,1.0,2020-02-05
15,14,1,1.076,2020-02-06
16,15,1,1.071,2020-02-07
17,15,0,1.0,2020-02-08
18,15,0,1.0,2020-02-09
19,15,0,1.0,2020-02-10
20,15,0,1.0,2020-02-11
21,15,0,1.0,2020-02-12
22,15,0,1.0,2020-02-13
23,15,0,1.0,2020-02-14
24,15,0,1.0,2020-02-15
25,15,0,1.0,2020-02-16
26,15,0,1.0,2020-02-17
27,15,0,1.0,2020-02-18
28,15,0,1.0,2020-02-19
29,15,0,1.0,2020-02-20
30,19,4,1.266,2020-02-21
31,22,3,1.157,2020-02-22
32,22,0,1.0,2020-02-23
33,22,0,1.0,2020-02-24
34,22,0,1.0,2020-02-25
35,22,0,1.0,2020-02-26
36,23,1,1.045,2020-02-27
37,23,0,1.0,2020-02-28
38,25,2,1.086,2020-02-29
39,27,2,1.08,2020-03-01
40,30,3,1.111,2020-03-02
41,39,9,1.3,2020-03-03
42,52,13,1.333,2020-03-04
43,55,3,1.057,2020-03-05
44,60,5,1.090,2020-03-06
45,63,3,1.05,2020-03-07
46,76,13,1.206,2020-03-08
47,91,15,1.197,2020-03-09
48,107,16,1.175,2020-03-10
49,128,21,1.196,2020-03-11
50,150,22,1.171,2020-03-12
51,200,50,1.333,2020-03-13
52,250,50,1.25,2020-03-14
53,297,47,1.188,2020-03-15
54,377,80,1.269,2020-03-16
55,452,75,1.198,2020-03-17
56,568,116,1.256,2020-03-18
57,681,113,1.198,2020-03-19
58,791,110,1.161,2020-03-20
59,1071,280,1.353,2020-03-21
60,1314,243,1.226,2020-03-22
