day,cases,cases_new,growth,date
0,548,548,1.0,2020-01-22
1,643,95,1.173,2020-01-23
2,920,277,1.430,2020-01-24
3,1406,486,1.528,2020-01-25
4,2075,669,1.475,2020-01-26
5,2877,802,1.386,2020-01-27
6,5509,2632,1.914,2020-01-28
7,6087,578,1.104,2020-01-29
8,8141,2054,1.337,2020-01-30
9,9802,1661,1.204,2020-01-31
10,11891,2089,1.213,2020-02-01
11,16630,4739,1.398,2020-02-02
12,19716,3086,1.185,2020-02-03
13,23707,3991,1.202,2020-02-04
14,27440,3733,1.157,2020-02-05
15,30587,3147,1.114,2020-02-06
16,34110,3523,1.115,2020-02-07
17,36814,2704,1.079,2020-02-08
18,39829,3015,1.081,2020-02-09
19,42354,2525,1.063,2020-02-10
20,44386,2032,1.047,2020-02-11
21,44759,373,1.008,2020-02-12
22,59895,15136,1.338,2020-02-13
23,66358,6463,1.107,2020-02-14
24,68413,2055,1.030,2020-02-15
25,70513,2100,1.030,2020-02-16
26,72434,1921,1.027,2020-02-17
27,74211,1777,1.024,2020-02-18
28,74619,408,1.005,2020-02-19
29,75077,458,1.006,2020-02-20
30,75550,473,1.006,2020-02-21
31,77001,1451,1.019,2020-02-22
32,77022,21,1.000,2020-02-23
33,77241,219,1.002,2020-02-24
34,77754,513,1.006,2020-02-25
35,78166,412,1.005,2020-02-26
36,78600,434,1.005,2020-02-27
37,78928,328,1.004,2020-02-28
38,79356,428,1.005,2020-02-29
39,79932,576,1.007,2020-03-01
40,80136,204,1.002,2020-03-02
41,80261,125,1.001,2020-03-03
42,80386,125,1.001,2020-03-04
43,80537,151,1.001,2020-03-05
44,80690,153,1.001,2020-03-06
45,80770,80,1.000,2020-03-07
46,80823,53,1.000,2020-03-08
47,80860,37,1.000,2020-03-09
48,80887,27,1.000,2020-03-10
49,80921,34,1.000,2020-03-11
50,80932,11,1.000,2020-03-12
51,80945,13,1.000,2020-03-13
52,80977,32,1.000,2020-03-14
53,81003,26,1.000,2020-03-15
54,81033,30,1.000,2020-03-16
55,81058,25,1.000,2020-03-17
56,81102,44,1.000,2020-03-18
