day,cases,cases_new,growth,date
0,555,555,1.0,2020-01-22
1,654,99,1.178,2020-01-23
2,941,287,1.438,2020-01-24
3,1434,493,1.523,2020-01-25
4,2118,684,1.476,2020-01-26
5,2927,809,1.381,2020-01-27
6,5578,2651,1.905,2020-01-28
7,6166,588,1.105,2020-01-29
8,8234,2068,1.335,2020-01-30
9,9927,1693,1.205,2020-01-31
10,12038,2111,1.212,2020-02-01
11,16787,4749,1.394,2020-02-02
12,19881,3094,1.184,2020-02-03
13,23892,4011,1.201,2020-02-04
14,27635,3743,1.156,2020-02-05
15,30794,3159,1.114,2020-02-06
16,34391,3597,1.116,2020-02-07
17,37120,2729,1.079,2020-02-08
18,40150,3030,1.081,2020-02-09
19,42762,2612,1.065,2020-02-10
20,44802,2040,1.047,2020-02-11
21,45221,419,1.009,2020-02-12
22,60368,15147,1.334,2020-02-13
23,66885,6517,1.107,2020-02-14
24,69030,2145,1.032,2020-02-15
25,71224,2194,1.031,2020-02-16
26,73258,2034,1.028,2020-02-17
27,75136,1878,1.025,2020-02-18
28,75639,503,1.006,2020-02-19
29,76197,558,1.007,2020-02-20
30,76819,622,1.008,2020-02-21
31,78572,1753,1.022,2020-02-22
32,78958,386,1.004,2020-02-23
33,79561,603,1.007,2020-02-24
34,80406,845,1.010,2020-02-25
35,81388,982,1.012,2020-02-26
36,82746,1358,1.016,2020-02-27
37,84112,1366,1.016,2020-02-28
38,86011,1899,1.022,2020-02-29
39,88369,2358,1.027,2020-03-01
40,90306,1937,1.021,2020-03-02
41,92840,2534,1.028,2020-03-03
42,95120,2280,1.024,2020-03-04
43,97895,2775,1.029,2020-03-05
44,101806,3911,1.039,2020-03-06
45,105849,4043,1.039,2020-03-07
46,109824,3975,1.037,2020-03-08
47,113598,3774,1.034,2020-03-09
48,118623,5025,1.044,2020-03-10
49,125879,7256,1.061,2020-03-11
50,132920,7041,1.055,2020-03-12
51,145225,12305,1.092,2020-03-13
52,156041,10816,1.074,2020-03-14
53,167798,11757,1.075,2020-03-15
54,181707,13909,1.082,2020-03-16
55,197219,15512,1.085,2020-03-17
56,214947,17728,1.089,2020-03-18
57,243212,28265,1.131,2020-03-19
58,272264,29052,1.119,2020-03-20
59,304580,32316,1.118,2020-03-21
60,337022,32442,1.106,2020-03-22
61,378301,41279,1.122,2020-03-23
62,418295,39994,1.105,2020-03-24
63,467817,49522,1.118,2020-03-25
64,529722,61905,1.132,2020-03-26
65,593764,64042,1.120,2020-03-27
66,661174,67410,1.113,2020-03-28
67,720291,59117,1.089,2020-03-29
68,782816,62525,1.086,2020-03-30
69,857608,74792,1.095,2020-03-31
70,933010,75402,1.087,2020-04-01
71,1013863,80853,1.086,2020-04-02
72,1096324,82461,1.081,2020-04-03
73,1176436,80112,1.073,2020-04-04
74,1249743,73307,1.062,2020-04-05
75,1321436,71693,1.057,2020-04-06
76,1396438,75002,1.056,2020-04-07
77,1480232,83794,1.060,2020-04-08
78,1566102,85870,1.058,2020-04-09
79,1658261,92159,1.058,2020-04-10
80,1736412,78151,1.047,2020-04-11
81,1835145,98733,1.056,2020-04-12
82,1905165,70020,1.038,2020-04-13
83,1975566,70401,1.036,2020-04-14
84,2055748,80182,1.040,2020-04-15
85,2152181,96433,1.046,2020-04-16
86,2239990,87809,1.040,2020-04-17
87,2317636,77646,1.034,2020-04-18
88,2400787,83151,1.035,2020-04-19
89,2472109,71322,1.029,2020-04-20
90,2549046,76937,1.031,2020-04-21
91,2624608,75562,1.029,2020-04-22
92,2708403,83795,1.031,2020-04-23
93,2795731,87328,1.032,2020-04-24
94,2881140,85409,1.030,2020-04-25
95,2955033,73893,1.025,2020-04-26
96,3023722,68689,1.023,2020-04-27
97,3097229,73507,1.024,2020-04-28
98,3172287,75058,1.024,2020-04-29
99,3256910,84623,1.026,2020-04-30
100,3345558,88648,1.027,2020-05-01
101,3427584,82026,1.024,2020-05-02
102,3506729,79145,1.023,2020-05-03
103,3583055,76326,1.021,2020-05-04
104,3662691,79636,1.022,2020-05-05
105,3756069,93378,1.025,2020-05-06
106,3845718,89649,1.023,2020-05-07
107,3938064,92346,1.024,2020-05-08
108,4024009,85945,1.021,2020-05-09
109,4101699,77690,1.019,2020-05-10
110,4177502,75803,1.018,2020-05-11
111,4261747,84245,1.020,2020-05-12
112,4347018,85271,1.020,2020-05-13
113,4442163,95145,1.021,2020-05-14
114,4542347,100184,1.022,2020-05-15
115,4634068,91721,1.020,2020-05-16
116,4713620,79552,1.017,2020-05-17
117,4801943,88323,1.018,2020-05-18
118,4897492,95549,1.019,2020-05-19
119,4996472,98980,1.020,2020-05-20
120,5102424,105952,1.021,2020-05-21
121,5210817,108393,1.021,2020-05-22
122,5310362,99545,1.019,2020-05-23
123,5407613,97251,1.018,2020-05-24
