day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,2,1,2.0,2020-03-21
60,2,0,1.0,2020-03-22
61,3,1,1.5,2020-03-23
62,3,0,1.0,2020-03-24
63,3,0,1.0,2020-03-25
64,4,1,1.333,2020-03-26
65,4,0,1.0,2020-03-27
66,5,1,1.25,2020-03-28
67,7,2,1.4,2020-03-29
68,7,0,1.0,2020-03-30
69,7,0,1.0,2020-03-31
70,8,1,1.142,2020-04-01
71,8,0,1.0,2020-04-02
72,8,0,1.0,2020-04-03
73,10,2,1.25,2020-04-04
74,14,4,1.4,2020-04-05
75,16,2,1.142,2020-04-06
76,17,1,1.062,2020-04-07
77,19,2,1.117,2020-04-08
78,19,0,1.0,2020-04-09
79,19,0,1.0,2020-04-10
80,19,0,1.0,2020-04-11
81,19,0,1.0,2020-04-12
82,19,0,1.0,2020-04-13
83,19,0,1.0,2020-04-14
84,19,0,1.0,2020-04-15
85,19,0,1.0,2020-04-16
86,19,0,1.0,2020-04-17
87,24,5,1.263,2020-04-18
88,24,0,1.0,2020-04-19
89,24,0,1.0,2020-04-20
90,24,0,1.0,2020-04-21
91,25,1,1.041,2020-04-22
92,25,0,1.0,2020-04-23
