day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,3,2,3.0,2020-03-23
62,3,0,1.0,2020-03-24
63,3,0,1.0,2020-03-25
64,7,4,2.333,2020-03-26
65,7,0,1.0,2020-03-27
66,7,0,1.0,2020-03-28
67,7,0,1.0,2020-03-29
68,7,0,1.0,2020-03-30
69,7,0,1.0,2020-03-31
70,7,0,1.0,2020-04-01
71,9,2,1.285,2020-04-02
72,15,6,1.666,2020-04-03
73,15,0,1.0,2020-04-04
74,15,0,1.0,2020-04-05
75,15,0,1.0,2020-04-06
76,19,4,1.266,2020-04-07
77,19,0,1.0,2020-04-08
78,19,0,1.0,2020-04-09
79,19,0,1.0,2020-04-10
80,21,2,1.105,2020-04-11
81,21,0,1.0,2020-04-12
82,23,2,1.095,2020-04-13
83,23,0,1.0,2020-04-14
84,23,0,1.0,2020-04-15
85,23,0,1.0,2020-04-16
86,23,0,1.0,2020-04-17
87,23,0,1.0,2020-04-18
88,23,0,1.0,2020-04-19
89,23,0,1.0,2020-04-20
90,23,0,1.0,2020-04-21
91,24,1,1.043,2020-04-22
92,24,0,1.0,2020-04-23
93,24,0,1.0,2020-04-24
94,24,0,1.0,2020-04-25
95,24,0,1.0,2020-04-26
96,24,0,1.0,2020-04-27
97,24,0,1.0,2020-04-28
98,24,0,1.0,2020-04-29
99,24,0,1.0,2020-04-30
100,25,1,1.041,2020-05-01
101,25,0,1.0,2020-05-02
102,25,0,1.0,2020-05-03
103,25,0,1.0,2020-05-04
104,25,0,1.0,2020-05-05
105,25,0,1.0,2020-05-06
106,25,0,1.0,2020-05-07
107,25,0,1.0,2020-05-08
108,25,0,1.0,2020-05-09
109,25,0,1.0,2020-05-10
110,25,0,1.0,2020-05-11
111,25,0,1.0,2020-05-12
112,25,0,1.0,2020-05-13
113,25,0,1.0,2020-05-14
114,25,0,1.0,2020-05-15
115,25,0,1.0,2020-05-16
116,25,0,1.0,2020-05-17
117,25,0,1.0,2020-05-18
118,25,0,1.0,2020-05-19
119,25,0,1.0,2020-05-20
120,25,0,1.0,2020-05-21
121,25,0,1.0,2020-05-22
122,25,0,1.0,2020-05-23
123,25,0,1.0,2020-05-24
