day,cases,cases_new,growth,date
41,1,1,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,2,1,2.0,2020-03-06
45,8,6,4.0,2020-03-07
46,12,4,1.5,2020-03-08
47,12,0,1.0,2020-03-09
48,17,5,1.416,2020-03-10
49,19,2,1.117,2020-03-11
50,23,4,1.210,2020-03-12
51,31,8,1.347,2020-03-13
52,34,3,1.096,2020-03-14
53,45,11,1.323,2020-03-15
54,56,11,1.244,2020-03-16
55,68,12,1.214,2020-03-17
56,79,11,1.161,2020-03-18
57,97,18,1.227,2020-03-19
58,128,31,1.319,2020-03-20
59,158,30,1.234,2020-03-21
60,266,108,1.683,2020-03-22
61,301,35,1.131,2020-03-23
62,387,86,1.285,2020-03-24
63,387,0,1.0,2020-03-25
64,502,115,1.297,2020-03-26
65,589,87,1.173,2020-03-27
66,690,101,1.171,2020-03-28
67,745,55,1.079,2020-03-29
68,820,75,1.100,2020-03-30
69,1054,234,1.285,2020-03-31
70,1054,0,1.0,2020-04-01
71,1133,79,1.074,2020-04-02
72,1265,132,1.116,2020-04-03
73,1451,186,1.147,2020-04-04
74,1451,0,1.0,2020-04-05
75,1554,103,1.070,2020-04-06
76,1628,74,1.047,2020-04-07
77,1715,87,1.053,2020-04-08
78,1795,80,1.046,2020-04-09
79,1975,180,1.100,2020-04-10
80,1975,0,1.0,2020-04-11
81,2142,167,1.084,2020-04-12
82,2208,66,1.030,2020-04-13
83,2277,69,1.031,2020-04-14
84,2443,166,1.072,2020-04-15
85,2571,128,1.052,2020-04-16
86,2669,98,1.038,2020-04-17
87,2758,89,1.033,2020-04-18
88,2839,81,1.029,2020-04-19
89,2941,102,1.035,2020-04-20
90,3031,90,1.030,2020-04-21
91,3144,113,1.037,2020-04-22
92,3435,291,1.092,2020-04-23
93,3607,172,1.050,2020-04-24
94,3780,173,1.047,2020-04-25
95,3892,112,1.029,2020-04-26
96,4003,111,1.028,2020-04-27
97,4127,124,1.030,2020-04-28
98,4285,158,1.038,2020-04-29
99,4428,143,1.033,2020-04-30
100,4532,104,1.023,2020-05-01
101,4681,149,1.032,2020-05-02
102,4783,102,1.021,2020-05-03
103,4887,104,1.021,2020-05-04
104,5020,133,1.027,2020-05-05
105,5208,188,1.037,2020-05-06
106,5371,163,1.031,2020-05-07
107,5611,240,1.044,2020-05-08
108,5776,165,1.029,2020-05-09
109,6034,258,1.044,2020-05-10
110,6278,244,1.040,2020-05-11
111,6563,285,1.045,2020-05-12
112,6879,316,1.048,2020-05-13
113,7134,255,1.037,2020-05-14
114,7479,345,1.048,2020-05-15
115,7805,326,1.043,2020-05-16
116,8068,263,1.033,2020-05-17
117,8371,303,1.037,2020-05-18
118,8809,438,1.052,2020-05-19
119,9283,474,1.053,2020-05-20
120,9931,648,1.069,2020-05-21
121,10649,718,1.072,2020-05-22
122,11353,704,1.066,2020-05-23
123,12076,723,1.063,2020-05-24
