day,cases,cases_new,growth,date
39,1,1,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,1,0,1.0,2020-03-08
47,1,0,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,1,0,1.0,2020-03-11
50,4,3,4.0,2020-03-12
51,8,4,2.0,2020-03-13
52,18,10,2.25,2020-03-14
53,26,8,1.444,2020-03-15
54,52,26,2.0,2020-03-16
55,78,26,1.5,2020-03-17
56,84,6,1.076,2020-03-18
57,115,31,1.369,2020-03-19
58,136,21,1.182,2020-03-20
59,160,24,1.176,2020-03-21
60,194,34,1.212,2020-03-22
61,235,41,1.211,2020-03-23
62,249,14,1.059,2020-03-24
