day,cases,cases_new,growth,date
51,1,1,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,1,0,1.0,2020-03-15
54,2,1,2.0,2020-03-16
55,2,0,1.0,2020-03-17
56,3,1,1.5,2020-03-18
57,4,1,1.333,2020-03-19
58,6,2,1.5,2020-03-20
59,9,3,1.5,2020-03-21
60,19,10,2.111,2020-03-22
61,32,13,1.684,2020-03-23
62,39,7,1.218,2020-03-24
63,39,0,1.0,2020-03-25
64,53,14,1.358,2020-03-26
65,62,9,1.169,2020-03-27
66,71,9,1.145,2020-03-28
67,77,6,1.084,2020-03-29
68,78,1,1.012,2020-03-30
69,80,2,1.025,2020-03-31
70,84,4,1.05,2020-04-01
71,87,3,1.035,2020-04-02
72,91,4,1.045,2020-04-03
73,93,2,1.021,2020-04-04
74,96,3,1.032,2020-04-05
75,96,0,1.0,2020-04-06
76,96,0,1.0,2020-04-07
77,99,3,1.031,2020-04-08
78,100,1,1.010,2020-04-09
79,103,3,1.03,2020-04-10
80,103,0,1.0,2020-04-11
81,103,0,1.0,2020-04-12
82,102,-1,0.990,2020-04-13
83,103,1,1.009,2020-04-14
84,103,0,1.0,2020-04-15
85,103,0,1.0,2020-04-16
86,103,0,1.0,2020-04-17
87,103,0,1.0,2020-04-18
88,103,0,1.0,2020-04-19
89,104,1,1.009,2020-04-20
90,104,0,1.0,2020-04-21
91,104,0,1.0,2020-04-22
92,104,0,1.0,2020-04-23
93,105,1,1.009,2020-04-24
94,106,1,1.009,2020-04-25
95,106,0,1.0,2020-04-26
96,106,0,1.0,2020-04-27
97,106,0,1.0,2020-04-28
98,106,0,1.0,2020-04-29
99,106,0,1.0,2020-04-30
100,106,0,1.0,2020-05-01
101,106,0,1.0,2020-05-02
102,106,0,1.0,2020-05-03
103,107,1,1.009,2020-05-04
104,107,0,1.0,2020-05-05
105,107,0,1.0,2020-05-06
106,107,0,1.0,2020-05-07
107,107,0,1.0,2020-05-08
108,107,0,1.0,2020-05-09
109,107,0,1.0,2020-05-10
110,107,0,1.0,2020-05-11
111,107,0,1.0,2020-05-12
112,107,0,1.0,2020-05-13
113,107,0,1.0,2020-05-14
114,107,0,1.0,2020-05-15
115,107,0,1.0,2020-05-16
116,107,0,1.0,2020-05-17
117,107,0,1.0,2020-05-18
118,107,0,1.0,2020-05-19
119,107,0,1.0,2020-05-20
120,107,0,1.0,2020-05-21
121,107,0,1.0,2020-05-22
122,107,0,1.0,2020-05-23
123,107,0,1.0,2020-05-24
