day,cases,cases_new,growth,date
4,3,3,1.0,2020-01-26
5,4,1,1.333,2020-01-27
6,4,0,1.0,2020-01-28
7,4,0,1.0,2020-01-29
8,4,0,1.0,2020-01-30
9,4,0,1.0,2020-01-31
10,4,0,1.0,2020-02-01
11,4,0,1.0,2020-02-02
12,4,0,1.0,2020-02-03
13,4,0,1.0,2020-02-04
14,4,0,1.0,2020-02-05
15,4,0,1.0,2020-02-06
16,4,0,1.0,2020-02-07
17,4,0,1.0,2020-02-08
18,4,0,1.0,2020-02-09
19,4,0,1.0,2020-02-10
20,4,0,1.0,2020-02-11
21,4,0,1.0,2020-02-12
22,4,0,1.0,2020-02-13
23,4,0,1.0,2020-02-14
24,4,0,1.0,2020-02-15
25,4,0,1.0,2020-02-16
26,4,0,1.0,2020-02-17
27,4,0,1.0,2020-02-18
28,4,0,1.0,2020-02-19
29,4,0,1.0,2020-02-20
30,4,0,1.0,2020-02-21
31,4,0,1.0,2020-02-22
32,4,0,1.0,2020-02-23
33,4,0,1.0,2020-02-24
34,4,0,1.0,2020-02-25
35,4,0,1.0,2020-02-26
36,4,0,1.0,2020-02-27
37,4,0,1.0,2020-02-28
38,4,0,1.0,2020-02-29
39,6,2,1.5,2020-03-01
40,6,0,1.0,2020-03-02
41,13,7,2.166,2020-03-03
42,22,9,1.692,2020-03-04
43,22,0,1.0,2020-03-05
44,26,4,1.181,2020-03-06
45,28,2,1.076,2020-03-07
46,38,10,1.357,2020-03-08
47,48,10,1.263,2020-03-09
48,55,7,1.145,2020-03-10
49,65,10,1.181,2020-03-11
50,74,9,1.138,2020-03-12
51,92,18,1.243,2020-03-13
52,112,20,1.217,2020-03-14
53,134,22,1.196,2020-03-15
54,171,37,1.276,2020-03-16
55,210,39,1.228,2020-03-17
56,267,57,1.271,2020-03-18
57,307,40,1.149,2020-03-19
58,353,46,1.149,2020-03-20
59,436,83,1.235,2020-03-21
60,669,233,1.534,2020-03-22
61,669,0,1.0,2020-03-23
62,818,149,1.222,2020-03-24
