day,cases,cases_new,growth,date
7,1,1,1.0,2020-01-29
8,3,2,3.0,2020-01-30
9,2,-1,0.666,2020-01-31
10,3,1,1.5,2020-02-01
11,2,-1,0.666,2020-02-02
12,2,0,1.0,2020-02-03
13,3,1,1.5,2020-02-04
14,3,0,1.0,2020-02-05
15,4,1,1.333,2020-02-06
16,5,1,1.25,2020-02-07
17,5,0,1.0,2020-02-08
18,5,0,1.0,2020-02-09
19,5,0,1.0,2020-02-10
20,5,0,1.0,2020-02-11
21,5,0,1.0,2020-02-12
22,5,0,1.0,2020-02-13
23,5,0,1.0,2020-02-14
24,5,0,1.0,2020-02-15
25,5,0,1.0,2020-02-16
26,5,0,1.0,2020-02-17
27,5,0,1.0,2020-02-18
28,5,0,1.0,2020-02-19
29,5,0,1.0,2020-02-20
30,5,0,1.0,2020-02-21
31,5,0,1.0,2020-02-22
32,5,0,1.0,2020-02-23
33,5,0,1.0,2020-02-24
34,5,0,1.0,2020-02-25
35,5,0,1.0,2020-02-26
36,5,0,1.0,2020-02-27
37,5,0,1.0,2020-02-28
38,9,4,1.8,2020-02-29
39,9,0,1.0,2020-03-01
40,9,0,1.0,2020-03-02
41,11,2,1.222,2020-03-03
42,11,0,1.0,2020-03-04
43,13,2,1.181,2020-03-05
44,13,0,1.0,2020-03-06
45,13,0,1.0,2020-03-07
46,15,2,1.153,2020-03-08
47,15,0,1.0,2020-03-09
48,18,3,1.2,2020-03-10
49,20,2,1.111,2020-03-11
50,25,5,1.25,2020-03-12
51,35,10,1.4,2020-03-13
52,46,11,1.314,2020-03-14
53,61,15,1.326,2020-03-15
54,68,7,1.114,2020-03-16
55,78,10,1.147,2020-03-17
56,94,16,1.205,2020-03-18
57,144,50,1.531,2020-03-19
58,184,40,1.277,2020-03-20
59,221,37,1.201,2020-03-21
60,259,38,1.171,2020-03-22
61,319,60,1.231,2020-03-23
62,397,78,1.244,2020-03-24
63,443,46,1.115,2020-03-25
64,493,50,1.112,2020-03-26
65,555,62,1.125,2020-03-27
66,625,70,1.126,2020-03-28
67,656,31,1.049,2020-03-29
