day,cases,cases_new,growth,date
40,1,1,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,1,0,1.0,2020-03-05
44,1,0,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,2,1,2.0,2020-03-08
47,2,0,1.0,2020-03-09
48,2,0,1.0,2020-03-10
49,3,1,1.5,2020-03-11
50,3,0,1.0,2020-03-12
51,5,2,1.666,2020-03-13
52,5,0,1.0,2020-03-14
53,6,1,1.2,2020-03-15
54,7,1,1.166,2020-03-16
55,7,0,1.0,2020-03-17
56,10,3,1.428,2020-03-18
57,10,0,1.0,2020-03-19
58,10,0,1.0,2020-03-20
59,16,6,1.6,2020-03-21
60,22,6,1.375,2020-03-22
61,28,6,1.272,2020-03-23
62,28,0,1.0,2020-03-24
63,36,8,1.285,2020-03-25
64,47,11,1.305,2020-03-26
65,47,0,1.0,2020-03-27
66,62,15,1.319,2020-03-28
67,66,4,1.064,2020-03-29
68,66,0,1.0,2020-03-30
69,69,3,1.045,2020-03-31
70,69,0,1.0,2020-04-01
71,72,3,1.043,2020-04-02
72,74,2,1.027,2020-04-03
73,80,6,1.081,2020-04-04
74,82,2,1.025,2020-04-05
75,86,4,1.048,2020-04-06
76,89,3,1.034,2020-04-07
77,98,9,1.101,2020-04-08
78,111,13,1.132,2020-04-09
79,122,11,1.099,2020-04-10
80,133,11,1.090,2020-04-11
81,133,0,1.0,2020-04-12
82,144,11,1.082,2020-04-13
83,165,21,1.145,2020-04-14
84,165,0,1.0,2020-04-15
85,169,4,1.024,2020-04-16
86,180,11,1.065,2020-04-17
87,188,8,1.044,2020-04-18
88,195,7,1.037,2020-04-19
89,200,5,1.025,2020-04-20
90,201,1,1.005,2020-04-21
91,205,4,1.019,2020-04-22
92,207,2,1.009,2020-04-23
93,207,0,1.0,2020-04-24
94,207,0,1.0,2020-04-25
95,212,5,1.024,2020-04-26
96,214,2,1.009,2020-04-27
97,218,4,1.018,2020-04-28
98,219,1,1.004,2020-04-29
99,221,2,1.009,2020-04-30
100,221,0,1.0,2020-05-01
101,221,0,1.0,2020-05-02
102,221,0,1.0,2020-05-03
103,221,0,1.0,2020-05-04
104,225,4,1.018,2020-05-05
105,226,1,1.004,2020-05-06
106,227,1,1.004,2020-05-07
107,227,0,1.0,2020-05-08
108,227,0,1.0,2020-05-09
109,227,0,1.0,2020-05-10
110,227,0,1.0,2020-05-11
111,227,0,1.0,2020-05-12
112,227,0,1.0,2020-05-13
113,227,0,1.0,2020-05-14
114,228,1,1.004,2020-05-15
115,228,0,1.0,2020-05-16
116,228,0,1.0,2020-05-17
117,228,0,1.0,2020-05-18
118,228,0,1.0,2020-05-19
119,228,0,1.0,2020-05-20
120,228,0,1.0,2020-05-21
121,228,0,1.0,2020-05-22
122,228,0,1.0,2020-05-23
123,228,0,1.0,2020-05-24
