day,cases,cases_new,growth,date
4,1,1,1.0,2020-01-26
5,1,0,1.0,2020-01-27
6,1,0,1.0,2020-01-28
7,1,0,1.0,2020-01-29
8,2,1,2.0,2020-01-30
9,3,1,1.5,2020-01-31
10,4,1,1.333,2020-02-01
11,4,0,1.0,2020-02-02
12,4,0,1.0,2020-02-03
13,4,0,1.0,2020-02-04
14,4,0,1.0,2020-02-05
15,4,0,1.0,2020-02-06
16,4,0,1.0,2020-02-07
17,4,0,1.0,2020-02-08
18,4,0,1.0,2020-02-09
19,4,0,1.0,2020-02-10
20,4,0,1.0,2020-02-11
21,4,0,1.0,2020-02-12
22,4,0,1.0,2020-02-13
23,4,0,1.0,2020-02-14
24,4,0,1.0,2020-02-15
25,4,0,1.0,2020-02-16
26,4,0,1.0,2020-02-17
27,4,0,1.0,2020-02-18
28,4,0,1.0,2020-02-19
29,4,0,1.0,2020-02-20
30,4,0,1.0,2020-02-21
31,4,0,1.0,2020-02-22
32,4,0,1.0,2020-02-23
33,4,0,1.0,2020-02-24
34,4,0,1.0,2020-02-25
35,4,0,1.0,2020-02-26
36,4,0,1.0,2020-02-27
37,4,0,1.0,2020-02-28
38,7,3,1.75,2020-02-29
39,7,0,1.0,2020-03-01
40,9,2,1.285,2020-03-02
41,9,0,1.0,2020-03-03
42,10,1,1.111,2020-03-04
43,10,0,1.0,2020-03-05
44,10,0,1.0,2020-03-06
45,11,1,1.1,2020-03-07
46,11,0,1.0,2020-03-08
47,15,4,1.363,2020-03-09
48,18,3,1.2,2020-03-10
49,21,3,1.166,2020-03-11
50,26,5,1.238,2020-03-12
51,36,10,1.384,2020-03-13
52,49,13,1.361,2020-03-14
53,57,8,1.163,2020-03-15
54,71,14,1.245,2020-03-16
55,94,23,1.323,2020-03-17
56,121,27,1.287,2020-03-18
57,121,0,1.0,2020-03-19
58,121,0,1.0,2020-03-20
59,229,108,1.892,2020-03-21
60,355,126,1.550,2020-03-22
61,355,0,1.0,2020-03-23
62,411,56,1.157,2020-03-24
63,466,55,1.133,2020-03-25
64,520,54,1.115,2020-03-26
65,574,54,1.103,2020-03-27
66,685,111,1.193,2020-03-28
67,769,84,1.122,2020-03-29
68,821,52,1.067,2020-03-30
69,917,96,1.116,2020-03-31
70,968,51,1.055,2020-04-01
71,1036,68,1.070,2020-04-02
72,1085,49,1.047,2020-04-03
73,1115,30,1.027,2020-04-04
74,1135,20,1.017,2020-04-05
75,1158,23,1.020,2020-04-06
76,1191,33,1.028,2020-04-07
77,1212,21,1.017,2020-04-08
78,1228,16,1.013,2020-04-09
79,1241,13,1.010,2020-04-10
80,1265,24,1.019,2020-04-11
81,1268,3,1.002,2020-04-12
82,1281,13,1.010,2020-04-13
83,1291,10,1.007,2020-04-14
84,1299,8,1.006,2020-04-15
85,1299,0,1.0,2020-04-16
86,1302,3,1.002,2020-04-17
87,1319,17,1.013,2020-04-18
88,1328,9,1.006,2020-04-19
89,1329,1,1.000,2020-04-20
90,1336,7,1.005,2020-04-21
91,1336,0,1.0,2020-04-22
92,1337,1,1.000,2020-04-23
93,1343,6,1.004,2020-04-24
94,1346,3,1.002,2020-04-25
95,1349,3,1.002,2020-04-26
96,1349,0,1.0,2020-04-27
97,1354,5,1.003,2020-04-28
98,1361,7,1.005,2020-04-29
99,1364,3,1.002,2020-04-30
100,1371,7,1.005,2020-05-01
101,1384,13,1.009,2020-05-02
102,1406,22,1.015,2020-05-03
103,1423,17,1.012,2020-05-04
104,1440,17,1.011,2020-05-05
105,1454,14,1.009,2020-05-06
106,1467,13,1.008,2020-05-07
107,1468,1,1.000,2020-05-08
108,1487,19,1.012,2020-05-09
109,1496,9,1.006,2020-05-10
110,1511,15,1.010,2020-05-11
111,1514,3,1.001,2020-05-12
112,1521,7,1.004,2020-05-13
113,1540,19,1.012,2020-05-14
114,1551,11,1.007,2020-05-15
115,1558,7,1.004,2020-05-16
116,1564,6,1.003,2020-05-17
117,1573,9,1.005,2020-05-18
118,1573,0,1.0,2020-05-19
119,1581,8,1.005,2020-05-20
120,1593,12,1.007,2020-05-21
121,1593,0,1.0,2020-05-22
122,1603,10,1.006,2020-05-23
123,1605,2,1.001,2020-05-24
