day,cases,cases_new,growth,date
38,2,2,1.0,2020-02-29
39,2,0,1.0,2020-03-01
40,2,0,1.0,2020-03-02
41,2,0,1.0,2020-03-03
42,2,0,1.0,2020-03-04
43,3,1,1.5,2020-03-05
44,3,0,1.0,2020-03-06
45,3,0,1.0,2020-03-07
46,3,0,1.0,2020-03-08
47,4,1,1.333,2020-03-09
48,6,2,1.5,2020-03-10
49,9,3,1.5,2020-03-11
50,10,1,1.111,2020-03-12
51,14,4,1.4,2020-03-13
52,17,3,1.214,2020-03-14
53,17,0,1.0,2020-03-15
54,28,11,1.647,2020-03-16
55,31,3,1.107,2020-03-17
56,35,4,1.129,2020-03-18
57,52,17,1.485,2020-03-19
58,64,12,1.230,2020-03-20
59,90,26,1.406,2020-03-21
60,120,30,1.333,2020-03-22
61,140,20,1.166,2020-03-23
62,175,35,1.25,2020-03-24
63,175,0,1.0,2020-03-25
64,231,56,1.32,2020-03-26
65,231,0,1.0,2020-03-27
66,278,47,1.203,2020-03-28
