day,cases,cases_new,growth,date
34,2,2,1.0,2020-02-25
35,2,0,1.0,2020-02-26
36,3,1,1.5,2020-02-27
37,3,0,1.0,2020-02-28
38,9,6,3.0,2020-02-29
39,14,5,1.555,2020-03-01
40,18,4,1.285,2020-03-02
41,21,3,1.166,2020-03-03
42,29,8,1.380,2020-03-04
43,41,12,1.413,2020-03-05
44,55,14,1.341,2020-03-06
45,79,24,1.436,2020-03-07
46,104,25,1.316,2020-03-08
47,131,27,1.259,2020-03-09
48,182,51,1.389,2020-03-10
49,246,64,1.351,2020-03-11
50,302,56,1.227,2020-03-12
51,504,202,1.668,2020-03-13
52,655,151,1.299,2020-03-14
53,860,205,1.312,2020-03-15
54,1018,158,1.183,2020-03-16
55,1332,314,1.308,2020-03-17
56,1646,314,1.235,2020-03-18
57,2013,367,1.222,2020-03-19
58,2388,375,1.186,2020-03-20
59,2814,426,1.178,2020-03-21
60,3582,768,1.272,2020-03-22
61,4474,892,1.249,2020-03-23
62,5283,809,1.180,2020-03-24
63,5588,305,1.057,2020-03-25
64,6909,1321,1.236,2020-03-26
65,7657,748,1.108,2020-03-27
66,8271,614,1.080,2020-03-28
67,8788,517,1.062,2020-03-29
68,9618,830,1.094,2020-03-30
