day,cases,cases_new,growth,date
39,3,3,1.0,2020-03-01
40,3,0,1.0,2020-03-02
41,3,0,1.0,2020-03-03
42,3,0,1.0,2020-03-04
43,6,3,2.0,2020-03-05
44,6,0,1.0,2020-03-06
45,9,3,1.5,2020-03-07
46,9,0,1.0,2020-03-08
47,9,0,1.0,2020-03-09
48,11,2,1.222,2020-03-10
49,11,0,1.0,2020-03-11
50,12,1,1.090,2020-03-12
51,15,3,1.25,2020-03-13
52,15,0,1.0,2020-03-14
53,23,8,1.533,2020-03-15
54,28,5,1.217,2020-03-16
55,28,0,1.0,2020-03-17
56,28,0,1.0,2020-03-18
57,44,16,1.571,2020-03-19
58,44,0,1.0,2020-03-20
59,53,9,1.204,2020-03-21
60,65,12,1.226,2020-03-22
61,72,7,1.107,2020-03-23
62,87,15,1.208,2020-03-24
63,93,6,1.068,2020-03-25
64,122,29,1.311,2020-03-26
65,165,43,1.352,2020-03-27
66,182,17,1.103,2020-03-28
67,209,27,1.148,2020-03-29
68,273,64,1.306,2020-03-30
69,298,25,1.091,2020-03-31
70,359,61,1.204,2020-04-01
71,400,41,1.114,2020-04-02
72,443,43,1.107,2020-04-03
73,521,78,1.176,2020-04-04
74,584,63,1.120,2020-04-05
75,641,57,1.097,2020-04-06
76,717,76,1.118,2020-04-07
77,822,105,1.146,2020-04-08
78,926,104,1.126,2020-04-09
79,991,65,1.070,2020-04-10
80,1058,67,1.067,2020-04-11
81,1098,40,1.037,2020-04-12
82,1148,50,1.045,2020-04-13
83,1197,49,1.042,2020-04-14
84,1253,56,1.046,2020-04-15
85,1283,30,1.023,2020-04-16
86,1340,57,1.044,2020-04-17
87,1373,33,1.024,2020-04-18
88,1398,25,1.018,2020-04-19
89,1436,38,1.027,2020-04-20
90,1480,44,1.030,2020-04-21
91,1518,38,1.025,2020-04-22
92,1548,30,1.019,2020-04-23
