day,cases,cases_new,growth,date
54,1,1,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,3,2,3.0,2020-03-19
58,3,0,1.0,2020-03-20
59,4,1,1.333,2020-03-21
60,4,0,1.0,2020-03-22
61,4,0,1.0,2020-03-23
62,5,1,1.25,2020-03-24
63,5,0,1.0,2020-03-25
64,9,4,1.8,2020-03-26
65,10,1,1.111,2020-03-27
66,10,0,1.0,2020-03-28
67,11,1,1.1,2020-03-29
68,14,3,1.272,2020-03-30
69,14,0,1.0,2020-03-31
70,21,7,1.5,2020-04-01
71,24,3,1.142,2020-04-02
72,24,0,1.0,2020-04-03
73,28,4,1.166,2020-04-04
74,28,0,1.0,2020-04-05
75,29,1,1.035,2020-04-06
76,33,4,1.137,2020-04-07
77,40,7,1.212,2020-04-08
78,41,1,1.025,2020-04-09
79,42,1,1.024,2020-04-10
80,46,4,1.095,2020-04-11
81,46,0,1.0,2020-04-12
82,47,1,1.021,2020-04-13
83,49,2,1.042,2020-04-14
84,49,0,1.0,2020-04-15
85,53,4,1.081,2020-04-16
86,54,1,1.018,2020-04-17
87,55,1,1.018,2020-04-18
88,55,0,1.0,2020-04-19
89,60,5,1.090,2020-04-20
90,65,5,1.083,2020-04-21
91,65,0,1.0,2020-04-22
92,72,7,1.107,2020-04-23
93,73,1,1.013,2020-04-24
94,78,5,1.068,2020-04-25
95,80,2,1.025,2020-04-26
96,80,0,1.0,2020-04-27
97,80,0,1.0,2020-04-28
98,80,0,1.0,2020-04-29
99,81,1,1.012,2020-04-30
100,81,0,1.0,2020-05-01
101,83,2,1.024,2020-05-02
102,83,0,1.0,2020-05-03
103,83,0,1.0,2020-05-04
104,89,6,1.072,2020-05-05
105,92,3,1.033,2020-05-06
106,92,0,1.0,2020-05-07
107,92,0,1.0,2020-05-08
108,92,0,1.0,2020-05-09
109,92,0,1.0,2020-05-10
110,93,1,1.010,2020-05-11
111,93,0,1.0,2020-05-12
112,94,1,1.010,2020-05-13
113,96,2,1.021,2020-05-14
114,96,0,1.0,2020-05-15
115,96,0,1.0,2020-05-16
116,96,0,1.0,2020-05-17
117,96,0,1.0,2020-05-18
118,96,0,1.0,2020-05-19
119,97,1,1.010,2020-05-20
120,97,0,1.0,2020-05-21
121,97,0,1.0,2020-05-22
122,100,3,1.030,2020-05-23
123,100,0,1.0,2020-05-24
