day,cases,cases_new,growth,date
33,1,1,1.0,2020-02-24
34,23,22,23.0,2020-02-25
35,33,10,1.434,2020-02-26
36,33,0,1.0,2020-02-27
37,36,3,1.090,2020-02-28
38,41,5,1.138,2020-02-29
39,47,6,1.146,2020-03-01
40,49,2,1.042,2020-03-02
41,49,0,1.0,2020-03-03
42,52,3,1.061,2020-03-04
43,55,3,1.057,2020-03-05
44,60,5,1.090,2020-03-06
45,85,25,1.416,2020-03-07
46,85,0,1.0,2020-03-08
47,95,10,1.117,2020-03-09
48,110,15,1.157,2020-03-10
49,195,85,1.772,2020-03-11
50,193,-2,0.989,2020-03-12
51,189,-4,0.979,2020-03-13
52,210,21,1.111,2020-03-14
53,214,4,1.019,2020-03-15
54,214,0,1.0,2020-03-16
55,228,14,1.065,2020-03-17
56,256,28,1.122,2020-03-18
57,278,22,1.085,2020-03-19
58,285,7,1.025,2020-03-20
59,305,20,1.070,2020-03-21
