day,cases,cases_new,growth,date
55,2,2,1.0,2020-03-17
56,2,0,1.0,2020-03-18
57,5,3,2.5,2020-03-19
58,5,0,1.0,2020-03-20
59,6,1,1.2,2020-03-21
60,14,8,2.333,2020-03-22
61,17,3,1.214,2020-03-23
62,18,1,1.058,2020-03-24
63,18,0,1.0,2020-03-25
64,18,0,1.0,2020-03-26
65,24,6,1.333,2020-03-27
66,26,2,1.083,2020-03-28
67,33,7,1.269,2020-03-29
68,33,0,1.0,2020-03-30
69,34,1,1.030,2020-03-31
70,34,0,1.0,2020-04-01
71,46,12,1.352,2020-04-02
72,51,5,1.108,2020-04-03
73,52,1,1.019,2020-04-04
74,56,4,1.076,2020-04-05
75,60,4,1.071,2020-04-06
76,63,3,1.05,2020-04-07
77,63,0,1.0,2020-04-08
78,66,3,1.047,2020-04-09
79,67,1,1.015,2020-04-10
80,68,1,1.014,2020-04-11
81,71,3,1.044,2020-04-12
82,72,1,1.014,2020-04-13
83,72,0,1.0,2020-04-14
84,73,1,1.013,2020-04-15
85,75,2,1.027,2020-04-16
86,75,0,1.0,2020-04-17
87,75,0,1.0,2020-04-18
88,75,0,1.0,2020-04-19
89,75,0,1.0,2020-04-20
90,75,0,1.0,2020-04-21
91,75,0,1.0,2020-04-22
92,76,1,1.013,2020-04-23
