day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,6,5,6.0,2020-03-04
43,6,0,1.0,2020-03-05
44,6,0,1.0,2020-03-06
45,6,0,1.0,2020-03-07
46,6,0,1.0,2020-03-08
47,6,0,1.0,2020-03-09
48,9,3,1.5,2020-03-10
49,9,0,1.0,2020-03-11
50,12,3,1.333,2020-03-12
51,27,15,2.25,2020-03-13
52,27,0,1.0,2020-03-14
53,27,0,1.0,2020-03-15
54,36,9,1.333,2020-03-16
55,36,0,1.0,2020-03-17
56,51,15,1.416,2020-03-18
57,51,0,1.0,2020-03-19
58,69,18,1.352,2020-03-20
59,76,7,1.101,2020-03-21
60,76,0,1.0,2020-03-22
61,81,5,1.065,2020-03-23
62,81,0,1.0,2020-03-24
63,86,5,1.061,2020-03-25
64,86,0,1.0,2020-03-26
65,94,8,1.093,2020-03-27
66,94,0,1.0,2020-03-28
67,94,0,1.0,2020-03-29
68,152,58,1.617,2020-03-30
69,152,0,1.0,2020-03-31
70,163,11,1.072,2020-04-01
71,304,141,1.865,2020-04-02
72,351,47,1.154,2020-04-03
73,440,89,1.253,2020-04-04
74,562,122,1.277,2020-04-05
75,700,138,1.245,2020-04-06
76,861,161,1.23,2020-04-07
77,1066,205,1.238,2020-04-08
78,1486,420,1.393,2020-04-09
79,1981,495,1.333,2020-04-10
80,2226,245,1.123,2020-04-11
81,2578,352,1.158,2020-04-12
82,2919,341,1.132,2020-04-13
83,3281,362,1.124,2020-04-14
84,3728,447,1.136,2020-04-15
85,4204,476,1.127,2020-04-16
86,4779,575,1.136,2020-04-17
87,4779,0,1.0,2020-04-18
88,4779,0,1.0,2020-04-19
89,6264,1485,1.310,2020-04-20
90,6723,459,1.073,2020-04-21
91,7281,558,1.082,2020-04-22
92,8022,741,1.101,2020-04-23
