day,cases,cases_new,growth,date
13,1,1,1.0,2020-02-04
14,1,0,1.0,2020-02-05
15,1,0,1.0,2020-02-06
16,1,0,1.0,2020-02-07
17,1,0,1.0,2020-02-08
18,1,0,1.0,2020-02-09
19,1,0,1.0,2020-02-10
20,1,0,1.0,2020-02-11
21,1,0,1.0,2020-02-12
22,1,0,1.0,2020-02-13
23,1,0,1.0,2020-02-14
24,1,0,1.0,2020-02-15
25,1,0,1.0,2020-02-16
26,1,0,1.0,2020-02-17
27,1,0,1.0,2020-02-18
28,1,0,1.0,2020-02-19
29,1,0,1.0,2020-02-20
30,1,0,1.0,2020-02-21
31,1,0,1.0,2020-02-22
32,1,0,1.0,2020-02-23
33,1,0,1.0,2020-02-24
34,1,0,1.0,2020-02-25
35,1,0,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,2,1,2.0,2020-03-01
40,8,6,4.0,2020-03-02
41,13,5,1.625,2020-03-03
42,23,10,1.769,2020-03-04
43,50,27,2.173,2020-03-05
44,109,59,2.18,2020-03-06
45,169,60,1.550,2020-03-07
46,200,31,1.183,2020-03-08
47,239,39,1.195,2020-03-09
48,267,28,1.117,2020-03-10
49,314,47,1.176,2020-03-11
50,395,81,1.257,2020-03-12
51,559,164,1.415,2020-03-13
52,689,130,1.232,2020-03-14
53,886,197,1.285,2020-03-15
54,1058,172,1.194,2020-03-16
55,1243,185,1.174,2020-03-17
56,1486,243,1.195,2020-03-18
57,1795,309,1.207,2020-03-19
58,2257,462,1.257,2020-03-20
59,2815,558,1.247,2020-03-21
60,3401,586,1.208,2020-03-22
61,3743,342,1.100,2020-03-23
62,4269,526,1.140,2020-03-24
63,4937,668,1.156,2020-03-25
64,6235,1298,1.262,2020-03-26
65,7284,1049,1.168,2020-03-27
66,9134,1850,1.253,2020-03-28
67,10836,1702,1.186,2020-03-29
68,11899,1063,1.098,2020-03-30
69,12775,876,1.073,2020-03-31
70,13964,1189,1.093,2020-04-01
71,15348,1384,1.099,2020-04-02
72,16770,1422,1.092,2020-04-03
