day,cases,cases_new,growth,date
54,1,1,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,2,1,2.0,2020-03-18
57,2,0,1.0,2020-03-19
58,2,0,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,2,0,1.0,2020-03-22
61,5,3,2.5,2020-03-23
62,6,1,1.2,2020-03-24
63,6,0,1.0,2020-03-25
64,6,0,1.0,2020-03-26
65,6,0,1.0,2020-03-27
66,6,0,1.0,2020-03-28
67,6,0,1.0,2020-03-29
68,6,0,1.0,2020-03-30
69,9,3,1.5,2020-03-31
70,13,4,1.444,2020-04-01
71,13,0,1.0,2020-04-02
72,16,3,1.230,2020-04-03
73,16,0,1.0,2020-04-04
74,22,6,1.375,2020-04-05
75,26,4,1.181,2020-04-06
76,26,0,1.0,2020-04-07
77,26,0,1.0,2020-04-08
78,26,0,1.0,2020-04-09
79,35,9,1.346,2020-04-10
80,35,0,1.0,2020-04-11
81,35,0,1.0,2020-04-12
82,35,0,1.0,2020-04-13
83,35,0,1.0,2020-04-14
84,35,0,1.0,2020-04-15
85,35,0,1.0,2020-04-16
86,35,0,1.0,2020-04-17
87,35,0,1.0,2020-04-18
88,35,0,1.0,2020-04-19
89,54,19,1.542,2020-04-20
90,54,0,1.0,2020-04-21
91,54,0,1.0,2020-04-22
92,54,0,1.0,2020-04-23
93,54,0,1.0,2020-04-24
94,54,0,1.0,2020-04-25
95,64,10,1.185,2020-04-26
96,64,0,1.0,2020-04-27
97,64,0,1.0,2020-04-28
98,64,0,1.0,2020-04-29
99,64,0,1.0,2020-04-30
100,90,26,1.406,2020-05-01
101,90,0,1.0,2020-05-02
102,90,0,1.0,2020-05-03
103,96,6,1.066,2020-05-04
104,96,0,1.0,2020-05-05
105,96,0,1.0,2020-05-06
106,140,44,1.458,2020-05-07
107,242,102,1.728,2020-05-08
108,284,42,1.173,2020-05-09
109,319,35,1.123,2020-05-10
110,319,0,1.0,2020-05-11
111,327,8,1.025,2020-05-12
112,327,0,1.0,2020-05-13
113,339,12,1.036,2020-05-14
114,339,0,1.0,2020-05-15
115,339,0,1.0,2020-05-16
116,339,0,1.0,2020-05-17
117,339,0,1.0,2020-05-18
118,130,-209,0.383,2020-05-19
119,130,0,1.0,2020-05-20
120,135,5,1.038,2020-05-21
121,135,0,1.0,2020-05-22
122,135,0,1.0,2020-05-23
123,191,56,1.414,2020-05-24
