day,cases,cases_new,growth,date
49,2,2,1.0,2020-03-11
50,2,0,1.0,2020-03-12
51,3,1,1.5,2020-03-13
52,10,7,3.333,2020-03-14
53,10,0,1.0,2020-03-15
54,11,1,1.1,2020-03-16
55,11,0,1.0,2020-03-17
56,12,1,1.090,2020-03-18
57,12,0,1.0,2020-03-19
58,15,3,1.25,2020-03-20
59,19,4,1.266,2020-03-21
60,24,5,1.263,2020-03-22
61,27,3,1.125,2020-03-23
62,29,2,1.074,2020-03-24
63,32,3,1.103,2020-03-25
64,43,11,1.343,2020-03-26
65,61,18,1.418,2020-03-27
66,74,13,1.213,2020-03-28
67,81,7,1.094,2020-03-29
68,97,16,1.197,2020-03-30
69,107,10,1.103,2020-03-31
70,115,8,1.074,2020-04-01
71,123,8,1.069,2020-04-02
72,132,9,1.073,2020-04-03
73,139,7,1.053,2020-04-04
74,157,18,1.129,2020-04-05
75,183,26,1.165,2020-04-06
76,194,11,1.060,2020-04-07
77,210,16,1.082,2020-04-08
78,264,54,1.257,2020-04-09
79,268,4,1.015,2020-04-10
80,275,7,1.026,2020-04-11
81,300,25,1.090,2020-04-12
82,330,30,1.1,2020-04-13
83,354,24,1.072,2020-04-14
84,397,43,1.121,2020-04-15
85,441,44,1.110,2020-04-16
86,465,24,1.054,2020-04-17
87,493,28,1.060,2020-04-18
88,520,27,1.054,2020-04-19
89,564,44,1.084,2020-04-20
90,598,34,1.060,2020-04-21
91,609,11,1.018,2020-04-22
92,703,94,1.154,2020-04-23
93,807,104,1.147,2020-04-24
94,866,59,1.073,2020-04-25
95,950,84,1.096,2020-04-26
96,1014,64,1.067,2020-04-27
97,1053,39,1.038,2020-04-28
98,1110,57,1.054,2020-04-29
99,1167,57,1.051,2020-04-30
100,1229,62,1.053,2020-05-01
101,1470,241,1.196,2020-05-02
102,1594,124,1.084,2020-05-03
103,1681,87,1.054,2020-05-04
104,1802,121,1.071,2020-05-05
105,1886,84,1.046,2020-05-06
106,2081,195,1.103,2020-05-07
107,2266,185,1.088,2020-05-08
108,2437,171,1.075,2020-05-09
109,2556,119,1.048,2020-05-10
110,2831,275,1.107,2020-05-11
111,2964,133,1.046,2020-05-12
112,3148,184,1.062,2020-05-13
113,3372,224,1.071,2020-05-14
114,3577,205,1.060,2020-05-15
115,3826,249,1.069,2020-05-16
116,4088,262,1.068,2020-05-17
117,4263,175,1.042,2020-05-18
118,4481,218,1.051,2020-05-19
119,4919,438,1.097,2020-05-20
120,5187,268,1.054,2020-05-21
121,5579,392,1.075,2020-05-22
122,5915,336,1.060,2020-05-23
123,6263,348,1.058,2020-05-24
