day,cases,cases_new,growth,date
68,3,3,1.0,2020-03-30
69,4,1,1.333,2020-03-31
70,4,0,1.0,2020-04-01
71,4,0,1.0,2020-04-02
72,4,0,1.0,2020-04-03
73,4,0,1.0,2020-04-04
74,6,2,1.5,2020-04-05
75,6,0,1.0,2020-04-06
76,6,0,1.0,2020-04-07
77,6,0,1.0,2020-04-08
78,13,7,2.166,2020-04-09
79,13,0,1.0,2020-04-10
80,13,0,1.0,2020-04-11
81,13,0,1.0,2020-04-12
82,13,0,1.0,2020-04-13
83,13,0,1.0,2020-04-14
84,13,0,1.0,2020-04-15
85,15,2,1.153,2020-04-16
86,15,0,1.0,2020-04-17
87,15,0,1.0,2020-04-18
88,20,5,1.333,2020-04-19
89,20,0,1.0,2020-04-20
90,20,0,1.0,2020-04-21
91,22,2,1.1,2020-04-22
92,22,0,1.0,2020-04-23
93,22,0,1.0,2020-04-24
94,22,0,1.0,2020-04-25
95,22,0,1.0,2020-04-26
96,22,0,1.0,2020-04-27
97,23,1,1.045,2020-04-28
98,23,0,1.0,2020-04-29
99,23,0,1.0,2020-04-30
100,23,0,1.0,2020-05-01
101,23,0,1.0,2020-05-02
102,23,0,1.0,2020-05-03
103,23,0,1.0,2020-05-04
104,23,0,1.0,2020-05-05
105,23,0,1.0,2020-05-06
106,23,0,1.0,2020-05-07
107,23,0,1.0,2020-05-08
108,23,0,1.0,2020-05-09
109,23,0,1.0,2020-05-10
110,24,1,1.043,2020-05-11
111,24,0,1.0,2020-05-12
112,24,0,1.0,2020-05-13
113,24,0,1.0,2020-05-14
114,24,0,1.0,2020-05-15
115,24,0,1.0,2020-05-16
116,25,1,1.041,2020-05-17
117,25,0,1.0,2020-05-18
118,25,0,1.0,2020-05-19
119,25,0,1.0,2020-05-20
120,29,4,1.16,2020-05-21
121,30,1,1.034,2020-05-22
122,30,0,1.0,2020-05-23
123,35,5,1.166,2020-05-24
