day,cases,cases_new,growth,date
35,1,1,1.0,2020-02-26
36,1,0,1.0,2020-02-27
37,1,0,1.0,2020-02-28
38,2,1,2.0,2020-02-29
39,2,0,1.0,2020-03-01
40,2,0,1.0,2020-03-02
41,2,0,1.0,2020-03-03
42,4,2,2.0,2020-03-04
43,4,0,1.0,2020-03-05
44,13,9,3.25,2020-03-06
45,13,0,1.0,2020-03-07
46,20,7,1.538,2020-03-08
47,25,5,1.25,2020-03-09
48,31,6,1.24,2020-03-10
49,38,7,1.225,2020-03-11
50,52,14,1.368,2020-03-12
51,151,99,2.903,2020-03-13
52,151,0,1.0,2020-03-14
53,162,11,1.072,2020-03-15
54,200,38,1.234,2020-03-16
55,321,121,1.605,2020-03-17
56,372,51,1.158,2020-03-18
57,621,249,1.669,2020-03-19
58,793,172,1.276,2020-03-20
59,1021,228,1.287,2020-03-21
60,1546,525,1.514,2020-03-22
61,1924,378,1.244,2020-03-23
62,2247,323,1.167,2020-03-24
63,2554,307,1.136,2020-03-25
