day,cases,cases_new,growth,date
47,1,1,1.0,2020-03-09
48,1,0,1.0,2020-03-10
49,11,10,11.0,2020-03-11
50,19,8,1.727,2020-03-12
51,37,18,1.947,2020-03-13
52,40,3,1.081,2020-03-14
53,50,10,1.25,2020-03-15
54,54,4,1.08,2020-03-16
55,56,2,1.037,2020-03-17
56,68,12,1.214,2020-03-18
57,75,7,1.102,2020-03-19
58,78,3,1.04,2020-03-20
59,83,5,1.064,2020-03-21
60,88,5,1.060,2020-03-22
61,91,3,1.034,2020-03-23
62,104,13,1.142,2020-03-24
63,109,5,1.048,2020-03-25
64,114,5,1.045,2020-03-26
65,115,1,1.008,2020-03-27
66,120,5,1.043,2020-03-28
67,126,6,1.05,2020-03-29
68,127,1,1.007,2020-03-30
