day,cases,cases_new,growth,date
46,4,4,1.0,2020-03-08
47,4,0,1.0,2020-03-09
48,4,0,1.0,2020-03-10
49,7,3,1.75,2020-03-11
50,12,5,1.714,2020-03-12
51,23,11,1.916,2020-03-13
52,41,18,1.782,2020-03-14
53,51,10,1.243,2020-03-15
54,52,1,1.019,2020-03-16
55,67,15,1.288,2020-03-17
56,92,25,1.373,2020-03-18
57,94,2,1.021,2020-03-19
58,127,33,1.351,2020-03-20
59,163,36,1.283,2020-03-21
60,187,24,1.147,2020-03-22
61,201,14,1.074,2020-03-23
62,218,17,1.084,2020-03-24
63,242,24,1.110,2020-03-25
64,264,22,1.090,2020-03-26
65,293,29,1.109,2020-03-27
66,331,38,1.129,2020-03-28
67,346,15,1.045,2020-03-29
68,359,13,1.037,2020-03-30
69,399,40,1.111,2020-03-31
70,422,23,1.057,2020-04-01
71,457,35,1.082,2020-04-02
72,485,28,1.061,2020-04-03
73,503,18,1.037,2020-04-04
74,531,28,1.055,2020-04-05
75,549,18,1.033,2020-04-06
76,577,28,1.051,2020-04-07
77,593,16,1.027,2020-04-08
78,618,25,1.042,2020-04-09
79,635,17,1.027,2020-04-10
80,661,26,1.040,2020-04-11
81,675,14,1.021,2020-04-12
