day,cases,cases_new,growth,date
48,1,1,1.0,2020-03-10
49,2,1,2.0,2020-03-11
50,2,0,1.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,3,1,1.5,2020-03-15
54,15,12,5.0,2020-03-16
55,15,0,1.0,2020-03-17
56,20,5,1.333,2020-03-18
57,33,13,1.65,2020-03-19
58,40,7,1.212,2020-03-20
59,64,24,1.6,2020-03-21
60,75,11,1.171,2020-03-22
61,99,24,1.32,2020-03-23
62,114,15,1.151,2020-03-24
63,146,32,1.280,2020-03-25
64,152,6,1.041,2020-03-26
65,180,28,1.184,2020-03-27
66,207,27,1.15,2020-03-28
67,222,15,1.072,2020-03-29
68,246,24,1.108,2020-03-30
69,261,15,1.060,2020-03-31
70,282,21,1.080,2020-04-01
71,288,6,1.021,2020-04-02
72,302,14,1.048,2020-04-03
73,318,16,1.052,2020-04-04
74,345,27,1.084,2020-04-05
75,364,19,1.055,2020-04-06
76,384,20,1.054,2020-04-07
77,414,30,1.078,2020-04-08
78,443,29,1.070,2020-04-09
79,443,0,1.0,2020-04-10
80,484,41,1.092,2020-04-11
81,497,13,1.026,2020-04-12
82,497,0,1.0,2020-04-13
83,528,31,1.062,2020-04-14
84,542,14,1.026,2020-04-15
85,546,4,1.007,2020-04-16
86,557,11,1.020,2020-04-17
87,565,8,1.014,2020-04-18
88,576,11,1.019,2020-04-19
89,581,5,1.008,2020-04-20
90,600,19,1.032,2020-04-21
91,609,9,1.015,2020-04-22
92,616,7,1.011,2020-04-23
