day,cases,cases_new,growth,date
65,8,8,1.0,2020-03-27
66,8,0,1.0,2020-03-28
67,10,2,1.25,2020-03-29
68,14,4,1.4,2020-03-30
69,15,1,1.071,2020-03-31
70,15,0,1.0,2020-04-01
71,20,5,1.333,2020-04-02
72,20,0,1.0,2020-04-03
73,21,1,1.05,2020-04-04
74,21,0,1.0,2020-04-05
75,22,1,1.047,2020-04-06
76,22,0,1.0,2020-04-07
77,22,0,1.0,2020-04-08
78,23,1,1.045,2020-04-09
79,27,4,1.173,2020-04-10
80,38,11,1.407,2020-04-11
81,41,3,1.078,2020-04-12
82,62,21,1.512,2020-04-13
83,63,1,1.016,2020-04-14
84,74,11,1.174,2020-04-15
85,85,11,1.148,2020-04-16
86,88,3,1.035,2020-04-17
87,98,10,1.113,2020-04-18
88,111,13,1.132,2020-04-19
89,119,8,1.072,2020-04-20
90,121,2,1.016,2020-04-21
91,123,2,1.016,2020-04-22
92,139,16,1.130,2020-04-23
93,144,5,1.035,2020-04-24
94,146,2,1.013,2020-04-25
95,146,0,1.0,2020-04-26
96,146,0,1.0,2020-04-27
97,150,4,1.027,2020-04-28
98,150,0,1.0,2020-04-29
99,151,1,1.006,2020-04-30
100,151,0,1.0,2020-05-01
101,151,0,1.0,2020-05-02
102,155,4,1.026,2020-05-03
103,161,6,1.038,2020-05-04
104,161,0,1.0,2020-05-05
105,161,0,1.0,2020-05-06
106,176,15,1.093,2020-05-07
107,177,1,1.005,2020-05-08
108,178,1,1.005,2020-05-09
109,180,2,1.011,2020-05-10
110,180,0,1.0,2020-05-11
111,180,0,1.0,2020-05-12
112,181,1,1.005,2020-05-13
113,181,0,1.0,2020-05-14
114,182,1,1.005,2020-05-15
115,182,0,1.0,2020-05-16
116,184,2,1.010,2020-05-17
117,191,7,1.038,2020-05-18
118,193,2,1.010,2020-05-19
119,199,6,1.031,2020-05-20
120,199,0,1.0,2020-05-21
121,199,0,1.0,2020-05-22
122,201,2,1.010,2020-05-23
123,201,0,1.0,2020-05-24
