day,cases,cases_new,growth,date
69,2,2,1.0,2020-03-31
70,2,0,1.0,2020-04-01
71,3,1,1.5,2020-04-02
72,3,0,1.0,2020-04-03
73,3,0,1.0,2020-04-04
74,3,0,1.0,2020-04-05
75,3,0,1.0,2020-04-06
76,3,0,1.0,2020-04-07
77,3,0,1.0,2020-04-08
78,3,0,1.0,2020-04-09
79,3,0,1.0,2020-04-10
80,5,2,1.666,2020-04-11
81,5,0,1.0,2020-04-12
82,5,0,1.0,2020-04-13
83,5,0,1.0,2020-04-14
84,5,0,1.0,2020-04-15
85,5,0,1.0,2020-04-16
86,5,0,1.0,2020-04-17
87,5,0,1.0,2020-04-18
88,5,0,1.0,2020-04-19
89,5,0,1.0,2020-04-20
90,5,0,1.0,2020-04-21
91,11,6,2.2,2020-04-22
92,11,0,1.0,2020-04-23
