day,cases,cases_new,growth,date
58,1,1,1.0,2020-03-20
59,3,2,3.0,2020-03-21
60,3,0,1.0,2020-03-22
61,3,0,1.0,2020-03-23
62,3,0,1.0,2020-03-24
63,4,1,1.333,2020-03-25
64,4,0,1.0,2020-03-26
65,5,1,1.25,2020-03-27
66,5,0,1.0,2020-03-28
67,6,1,1.2,2020-03-29
68,6,0,1.0,2020-03-30
69,6,0,1.0,2020-03-31
70,6,0,1.0,2020-04-01
71,6,0,1.0,2020-04-02
72,6,0,1.0,2020-04-03
73,7,1,1.166,2020-04-04
74,7,0,1.0,2020-04-05
75,7,0,1.0,2020-04-06
76,7,0,1.0,2020-04-07
77,7,0,1.0,2020-04-08
78,7,0,1.0,2020-04-09
79,7,0,1.0,2020-04-10
80,8,1,1.142,2020-04-11
81,8,0,1.0,2020-04-12
82,10,2,1.25,2020-04-13
83,11,1,1.1,2020-04-14
84,56,45,5.090,2020-04-15
85,56,0,1.0,2020-04-16
86,56,0,1.0,2020-04-17
87,58,2,1.035,2020-04-18
88,61,3,1.051,2020-04-19
89,67,6,1.098,2020-04-20
90,68,1,1.014,2020-04-21
91,73,5,1.073,2020-04-22
92,82,9,1.123,2020-04-23
93,88,6,1.073,2020-04-24
94,90,2,1.022,2020-04-25
95,106,16,1.177,2020-04-26
96,109,3,1.028,2020-04-27
97,114,5,1.045,2020-04-28
98,114,0,1.0,2020-04-29
99,121,7,1.061,2020-04-30
100,122,1,1.008,2020-05-01
101,152,30,1.245,2020-05-02
102,165,13,1.085,2020-05-03
103,175,10,1.060,2020-05-04
104,186,11,1.062,2020-05-05
105,191,5,1.026,2020-05-06
106,218,27,1.141,2020-05-07
107,230,12,1.055,2020-05-08
108,236,6,1.026,2020-05-09
109,246,10,1.042,2020-05-10
110,260,14,1.056,2020-05-11
111,267,7,1.026,2020-05-12
112,289,22,1.082,2020-05-13
113,315,26,1.089,2020-05-14
114,326,11,1.034,2020-05-15
115,328,2,1.006,2020-05-16
116,328,0,1.0,2020-05-17
117,328,0,1.0,2020-05-18
118,335,7,1.021,2020-05-19
119,349,14,1.041,2020-05-20
120,356,7,1.020,2020-05-21
121,362,6,1.016,2020-05-22
122,371,9,1.024,2020-05-23
123,380,9,1.024,2020-05-24
