day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,1,0,1.0,2020-03-07
46,2,1,2.0,2020-03-08
47,2,0,1.0,2020-03-09
48,2,0,1.0,2020-03-10
49,2,0,1.0,2020-03-11
50,2,0,1.0,2020-03-12
51,2,0,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,4,2,2.0,2020-03-16
55,10,6,2.5,2020-03-17
56,10,0,1.0,2020-03-18
57,13,3,1.3,2020-03-19
58,20,7,1.538,2020-03-20
59,27,7,1.35,2020-03-21
60,40,13,1.481,2020-03-22
61,56,16,1.4,2020-03-23
62,66,10,1.178,2020-03-24
63,75,9,1.136,2020-03-25
64,75,0,1.0,2020-03-26
65,91,16,1.213,2020-03-27
66,91,0,1.0,2020-03-28
67,139,48,1.527,2020-03-29
68,139,0,1.0,2020-03-30
69,193,54,1.388,2020-03-31
70,233,40,1.207,2020-04-01
71,306,73,1.313,2020-04-02
72,509,203,1.663,2020-04-03
73,555,46,1.090,2020-04-04
74,650,95,1.171,2020-04-05
75,658,8,1.012,2020-04-06
76,658,0,1.0,2020-04-07
77,730,72,1.109,2020-04-08
78,730,0,1.0,2020-04-09
79,820,90,1.123,2020-04-10
80,820,0,1.0,2020-04-11
81,820,0,1.0,2020-04-12
82,820,0,1.0,2020-04-13
83,848,28,1.034,2020-04-14
84,848,0,1.0,2020-04-15
85,996,148,1.174,2020-04-16
86,996,0,1.0,2020-04-17
87,1017,21,1.021,2020-04-18
88,1017,0,1.0,2020-04-19
89,1163,146,1.143,2020-04-20
90,1163,0,1.0,2020-04-21
91,1163,0,1.0,2020-04-22
92,1334,171,1.147,2020-04-23
93,1430,96,1.071,2020-04-24
94,1518,88,1.061,2020-04-25
95,1621,103,1.067,2020-04-26
96,1705,84,1.051,2020-04-27
97,1705,0,1.0,2020-04-28
98,1832,127,1.074,2020-04-29
99,1832,0,1.0,2020-04-30
100,1832,0,1.0,2020-05-01
101,2077,245,1.133,2020-05-02
102,2077,0,1.0,2020-05-03
103,2104,27,1.012,2020-05-04
104,2104,0,1.0,2020-05-05
105,2265,161,1.076,2020-05-06
106,2267,2,1.000,2020-05-07
107,2267,0,1.0,2020-05-08
108,2274,7,1.003,2020-05-09
109,2579,305,1.134,2020-05-10
110,2689,110,1.042,2020-05-11
111,2689,0,1.0,2020-05-12
112,2800,111,1.041,2020-05-13
113,2954,154,1.055,2020-05-14
114,3105,151,1.051,2020-05-15
115,3105,0,1.0,2020-05-16
116,3105,0,1.0,2020-05-17
117,3529,424,1.136,2020-05-18
118,3529,0,1.0,2020-05-19
119,3733,204,1.057,2020-05-20
120,4288,555,1.148,2020-05-21
121,4400,112,1.026,2020-05-22
122,4400,0,1.0,2020-05-23
123,4890,490,1.111,2020-05-24
