day,cases,cases_new,growth,date
44,1,1,1.0,2020-03-06
45,2,1,2.0,2020-03-07
46,4,2,2.0,2020-03-08
47,7,3,1.75,2020-03-09
48,7,0,1.0,2020-03-10
49,19,12,2.714,2020-03-11
50,22,3,1.157,2020-03-12
51,29,7,1.318,2020-03-13
52,29,0,1.0,2020-03-14
53,39,10,1.344,2020-03-15
54,56,17,1.435,2020-03-16
55,74,18,1.321,2020-03-17
56,97,23,1.310,2020-03-18
57,119,22,1.226,2020-03-19
58,146,27,1.226,2020-03-20
59,195,49,1.335,2020-03-21
60,259,64,1.328,2020-03-22
61,301,42,1.162,2020-03-23
62,359,58,1.192,2020-03-24
63,358,-1,0.997,2020-03-25
64,486,128,1.357,2020-03-26
65,542,56,1.115,2020-03-27
66,542,0,1.0,2020-03-28
67,621,79,1.145,2020-03-29
68,661,40,1.064,2020-03-30
69,690,29,1.043,2020-03-31
70,754,64,1.092,2020-04-01
71,969,215,1.285,2020-04-02
72,969,0,1.0,2020-04-03
73,1075,106,1.109,2020-04-04
74,1181,106,1.098,2020-04-05
75,1250,69,1.058,2020-04-06
76,1373,123,1.098,2020-04-07
77,1373,0,1.0,2020-04-08
78,1423,50,1.036,2020-04-09
79,1451,28,1.019,2020-04-10
80,1567,116,1.079,2020-04-11
81,1567,0,1.0,2020-04-12
82,1732,165,1.105,2020-04-13
83,1870,138,1.079,2020-04-14
84,1870,0,1.0,2020-04-15
85,1996,126,1.067,2020-04-16
86,2397,401,1.200,2020-04-17
87,2562,165,1.068,2020-04-18
88,2803,241,1.094,2020-04-19
89,2908,105,1.037,2020-04-20
90,3095,187,1.064,2020-04-21
91,3401,306,1.098,2020-04-22
92,3720,319,1.093,2020-04-23
93,4017,297,1.079,2020-04-24
94,4233,216,1.053,2020-04-25
95,4480,247,1.058,2020-04-26
96,4696,216,1.048,2020-04-27
97,4850,154,1.032,2020-04-28
98,5165,315,1.064,2020-04-29
99,5355,190,1.036,2020-04-30
100,5573,218,1.040,2020-05-01
101,5670,97,1.017,2020-05-02
102,5766,96,1.016,2020-05-03
103,5836,70,1.012,2020-05-04
104,5893,57,1.009,2020-05-05
105,5963,70,1.011,2020-05-06
106,6017,54,1.009,2020-05-07
107,6098,81,1.013,2020-05-08
108,6157,59,1.009,2020-05-09
109,6253,96,1.015,2020-05-10
110,6300,47,1.007,2020-05-11
111,6345,45,1.007,2020-05-12
112,6407,62,1.009,2020-05-13
113,6457,50,1.007,2020-05-14
114,6515,58,1.008,2020-05-15
115,6587,72,1.011,2020-05-16
116,6644,57,1.008,2020-05-17
117,6683,39,1.005,2020-05-18
118,6716,33,1.004,2020-05-19
119,6735,19,1.002,2020-05-20
120,6768,33,1.004,2020-05-21
121,6800,32,1.004,2020-05-22
122,6818,18,1.002,2020-05-23
123,6860,42,1.006,2020-05-24
