day,cases,cases_new,growth,date
6,1,1,1.0,2020-01-28
7,1,0,1.0,2020-01-29
8,1,0,1.0,2020-01-30
9,1,0,1.0,2020-01-31
10,1,0,1.0,2020-02-01
11,1,0,1.0,2020-02-02
12,1,0,1.0,2020-02-03
13,1,0,1.0,2020-02-04
14,2,1,2.0,2020-02-05
15,2,0,1.0,2020-02-06
16,4,2,2.0,2020-02-07
17,4,0,1.0,2020-02-08
18,4,0,1.0,2020-02-09
19,4,0,1.0,2020-02-10
20,4,0,1.0,2020-02-11
21,4,0,1.0,2020-02-12
22,4,0,1.0,2020-02-13
23,4,0,1.0,2020-02-14
24,4,0,1.0,2020-02-15
25,4,0,1.0,2020-02-16
26,5,1,1.25,2020-02-17
27,5,0,1.0,2020-02-18
28,5,0,1.0,2020-02-19
29,5,0,1.0,2020-02-20
30,6,1,1.2,2020-02-21
31,6,0,1.0,2020-02-22
32,6,0,1.0,2020-02-23
33,6,0,1.0,2020-02-24
34,7,1,1.166,2020-02-25
35,7,0,1.0,2020-02-26
36,7,0,1.0,2020-02-27
37,7,0,1.0,2020-02-28
38,8,1,1.142,2020-02-29
39,8,0,1.0,2020-03-01
40,8,0,1.0,2020-03-02
41,9,1,1.125,2020-03-03
42,12,3,1.333,2020-03-04
43,13,1,1.083,2020-03-05
44,21,8,1.615,2020-03-06
45,21,0,1.0,2020-03-07
46,27,6,1.285,2020-03-08
47,32,5,1.185,2020-03-09
48,32,0,1.0,2020-03-10
49,39,7,1.218,2020-03-11
50,46,7,1.179,2020-03-12
51,64,18,1.391,2020-03-13
52,64,0,1.0,2020-03-14
53,73,9,1.140,2020-03-15
54,103,30,1.410,2020-03-16
55,103,0,1.0,2020-03-17
56,186,83,1.805,2020-03-18
57,231,45,1.241,2020-03-19
58,271,40,1.173,2020-03-20
59,424,153,1.564,2020-03-21
60,424,0,1.0,2020-03-22
61,472,48,1.113,2020-03-23
62,617,145,1.307,2020-03-24
63,617,0,1.0,2020-03-25
64,725,108,1.175,2020-03-26
65,725,0,1.0,2020-03-27
66,884,159,1.219,2020-03-28
67,884,0,1.0,2020-03-29
68,970,86,1.097,2020-03-30
69,1013,43,1.044,2020-03-31
70,1013,0,1.0,2020-04-01
71,1121,108,1.106,2020-04-02
72,1174,53,1.047,2020-04-03
73,1203,29,1.024,2020-04-04
74,1203,0,1.0,2020-04-05
75,1266,63,1.052,2020-04-06
76,1266,0,1.0,2020-04-07
77,1291,25,1.019,2020-04-08
78,1336,45,1.034,2020-04-09
79,1370,34,1.025,2020-04-10
80,1445,75,1.054,2020-04-11
81,1445,0,1.0,2020-04-12
82,1490,45,1.031,2020-04-13
83,1490,0,1.0,2020-04-14
84,1517,27,1.018,2020-04-15
85,1561,44,1.029,2020-04-16
86,1575,14,1.008,2020-04-17
87,1618,43,1.027,2020-04-18
88,1647,29,1.017,2020-04-19
89,1647,0,1.0,2020-04-20
90,1724,77,1.046,2020-04-21
91,1795,71,1.041,2020-04-22
92,1824,29,1.016,2020-04-23
93,1853,29,1.015,2020-04-24
94,1948,95,1.051,2020-04-25
95,1948,0,1.0,2020-04-26
96,1998,50,1.025,2020-04-27
97,2053,55,1.027,2020-04-28
98,2087,34,1.016,2020-04-29
99,2112,25,1.011,2020-04-30
100,2145,33,1.015,2020-05-01
101,2171,26,1.012,2020-05-02
102,2171,0,1.0,2020-05-03
103,2224,53,1.024,2020-05-04
104,2232,8,1.003,2020-05-05
105,2255,23,1.010,2020-05-06
106,2288,33,1.014,2020-05-07
107,2315,27,1.011,2020-05-08
108,2330,15,1.006,2020-05-09
109,2330,0,1.0,2020-05-10
110,2353,23,1.009,2020-05-11
111,2360,7,1.002,2020-05-12
112,2376,16,1.006,2020-05-13
113,2392,16,1.006,2020-05-14
114,2407,15,1.006,2020-05-15
115,2428,21,1.008,2020-05-16
116,2428,0,1.0,2020-05-17
117,2444,16,1.006,2020-05-18
118,2446,2,1.000,2020-05-19
119,2467,21,1.008,2020-05-20
120,2479,12,1.004,2020-05-21
121,2507,28,1.011,2020-05-22
122,2517,10,1.003,2020-05-23
123,2517,0,1.0,2020-05-24
