day,cases,cases_new,growth,date
100,1,1,1.0,2020-05-01
101,1,0,1.0,2020-05-02
102,1,0,1.0,2020-05-03
103,1,0,1.0,2020-05-04
104,1,0,1.0,2020-05-05
105,1,0,1.0,2020-05-06
106,1,0,1.0,2020-05-07
107,1,0,1.0,2020-05-08
108,1,0,1.0,2020-05-09
109,1,0,1.0,2020-05-10
110,1,0,1.0,2020-05-11
111,1,0,1.0,2020-05-12
112,1,0,1.0,2020-05-13
113,1,0,1.0,2020-05-14
114,1,0,1.0,2020-05-15
115,1,0,1.0,2020-05-16
116,1,0,1.0,2020-05-17
117,1,0,1.0,2020-05-18
118,1,0,1.0,2020-05-19
119,1,0,1.0,2020-05-20
120,1,0,1.0,2020-05-21
121,1,0,1.0,2020-05-22
122,1,0,1.0,2020-05-23
123,1,0,1.0,2020-05-24
