day,cases,cases_new,growth,date
51,2,2,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,2,0,1.0,2020-03-16
55,8,6,4.0,2020-03-17
56,9,1,1.125,2020-03-18
57,9,0,1.0,2020-03-19
58,10,1,1.111,2020-03-20
59,10,0,1.0,2020-03-21
60,13,3,1.3,2020-03-22
61,13,0,1.0,2020-03-23
62,13,0,1.0,2020-03-24
63,13,0,1.0,2020-03-25
64,13,0,1.0,2020-03-26
65,13,0,1.0,2020-03-27
66,13,0,1.0,2020-03-28
67,13,0,1.0,2020-03-29
68,13,0,1.0,2020-03-30
69,13,0,1.0,2020-03-31
70,13,0,1.0,2020-04-01
71,13,0,1.0,2020-04-02
72,13,0,1.0,2020-04-03
73,13,0,1.0,2020-04-04
74,13,0,1.0,2020-04-05
75,13,0,1.0,2020-04-06
76,13,0,1.0,2020-04-07
77,13,0,1.0,2020-04-08
78,13,0,1.0,2020-04-09
79,13,0,1.0,2020-04-10
80,13,0,1.0,2020-04-11
81,13,0,1.0,2020-04-12
