day,cases,cases_new,growth,date
49,1,1,1.0,2020-03-11
50,1,0,1.0,2020-03-12
51,1,0,1.0,2020-03-13
52,1,0,1.0,2020-03-14
53,2,1,2.0,2020-03-15
54,6,4,3.0,2020-03-16
55,8,2,1.333,2020-03-17
56,11,3,1.375,2020-03-18
57,11,0,1.0,2020-03-19
58,11,0,1.0,2020-03-20
59,17,6,1.545,2020-03-21
60,17,0,1.0,2020-03-22
61,17,0,1.0,2020-03-23
62,18,1,1.058,2020-03-24
63,18,0,1.0,2020-03-25
64,33,15,1.833,2020-03-26
65,45,12,1.363,2020-03-27
66,51,6,1.133,2020-03-28
67,66,15,1.294,2020-03-29
68,68,2,1.030,2020-03-30
69,70,2,1.029,2020-03-31
70,81,11,1.157,2020-04-01
71,91,10,1.123,2020-04-02
72,91,0,1.0,2020-04-03
73,91,0,1.0,2020-04-04
74,98,7,1.076,2020-04-05
75,103,5,1.051,2020-04-06
76,105,2,1.019,2020-04-07
77,105,0,1.0,2020-04-08
78,108,3,1.028,2020-04-09
79,112,4,1.037,2020-04-10
80,112,0,1.0,2020-04-11
81,114,2,1.017,2020-04-12
