day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,3,2,3.0,2020-03-17
56,3,0,1.0,2020-03-18
57,3,0,1.0,2020-03-19
58,4,1,1.333,2020-03-20
59,6,2,1.5,2020-03-21
60,9,3,1.5,2020-03-22
61,24,15,2.666,2020-03-23
62,35,11,1.458,2020-03-24
63,35,0,1.0,2020-03-25
64,82,47,2.342,2020-03-26
65,102,20,1.243,2020-03-27
66,120,18,1.176,2020-03-28
67,135,15,1.125,2020-03-29
68,148,13,1.096,2020-03-30
69,152,4,1.027,2020-03-31
70,175,23,1.151,2020-04-01
71,183,8,1.045,2020-04-02
72,195,12,1.065,2020-04-03
