day,cases,cases_new,growth,date
64,1,1,1.0,2020-03-26
65,1,0,1.0,2020-03-27
66,1,0,1.0,2020-03-28
67,1,0,1.0,2020-03-29
68,1,0,1.0,2020-03-30
69,1,0,1.0,2020-03-31
70,2,1,2.0,2020-04-01
71,2,0,1.0,2020-04-02
72,2,0,1.0,2020-04-03
73,4,2,2.0,2020-04-04
74,4,0,1.0,2020-04-05
75,5,1,1.25,2020-04-06
76,5,0,1.0,2020-04-07
77,5,0,1.0,2020-04-08
78,5,0,1.0,2020-04-09
79,5,0,1.0,2020-04-10
80,5,0,1.0,2020-04-11
81,5,0,1.0,2020-04-12
82,5,0,1.0,2020-04-13
83,5,0,1.0,2020-04-14
84,5,0,1.0,2020-04-15
85,5,0,1.0,2020-04-16
86,5,0,1.0,2020-04-17
87,5,0,1.0,2020-04-18
88,5,0,1.0,2020-04-19
89,5,0,1.0,2020-04-20
90,5,0,1.0,2020-04-21
91,5,0,1.0,2020-04-22
92,5,0,1.0,2020-04-23
