day,cases,cases_new,growth,date
54,5,5,1.0,2020-03-16
55,7,2,1.4,2020-03-17
56,12,5,1.714,2020-03-18
57,14,2,1.166,2020-03-19
58,15,1,1.071,2020-03-20
59,21,6,1.4,2020-03-21
60,28,7,1.333,2020-03-22
61,41,13,1.464,2020-03-23
62,51,10,1.243,2020-03-24
63,68,17,1.333,2020-03-25
64,73,5,1.073,2020-03-26
65,90,17,1.232,2020-03-27
66,110,20,1.222,2020-03-28
67,122,12,1.109,2020-03-29
68,127,5,1.040,2020-03-30
69,147,20,1.157,2020-03-31
70,173,26,1.176,2020-04-01
71,193,20,1.115,2020-04-02
72,207,14,1.072,2020-04-03
73,236,29,1.140,2020-04-04
74,262,26,1.110,2020-04-05
75,293,31,1.118,2020-04-06
76,310,17,1.058,2020-04-07
77,310,0,1.0,2020-04-08
78,342,32,1.103,2020-04-09
79,407,65,1.190,2020-04-10
80,428,21,1.051,2020-04-11
81,445,17,1.039,2020-04-12
82,474,29,1.065,2020-04-13
83,517,43,1.090,2020-04-14
84,549,32,1.061,2020-04-15
85,579,30,1.054,2020-04-16
86,606,27,1.046,2020-04-17
87,649,43,1.070,2020-04-18
88,675,26,1.040,2020-04-19
89,721,46,1.068,2020-04-20
90,737,16,1.022,2020-04-21
91,772,35,1.047,2020-04-22
92,827,55,1.071,2020-04-23
