day,cases,cases_new,growth,date
4,1,1,1.0,2020-01-26
5,1,0,1.0,2020-01-27
6,1,0,1.0,2020-01-28
7,1,0,1.0,2020-01-29
8,1,0,1.0,2020-01-30
9,3,2,3.0,2020-01-31
10,3,0,1.0,2020-02-01
11,3,0,1.0,2020-02-02
12,3,0,1.0,2020-02-03
13,3,0,1.0,2020-02-04
14,3,0,1.0,2020-02-05
15,3,0,1.0,2020-02-06
16,3,0,1.0,2020-02-07
17,3,0,1.0,2020-02-08
18,3,0,1.0,2020-02-09
19,3,0,1.0,2020-02-10
20,3,0,1.0,2020-02-11
21,3,0,1.0,2020-02-12
22,3,0,1.0,2020-02-13
23,3,0,1.0,2020-02-14
24,3,0,1.0,2020-02-15
25,3,0,1.0,2020-02-16
26,3,0,1.0,2020-02-17
27,3,0,1.0,2020-02-18
28,3,0,1.0,2020-02-19
29,3,0,1.0,2020-02-20
30,3,0,1.0,2020-02-21
31,3,0,1.0,2020-02-22
32,3,0,1.0,2020-02-23
33,4,1,1.333,2020-02-24
34,4,0,1.0,2020-02-25
35,4,0,1.0,2020-02-26
36,6,2,1.5,2020-02-27
37,6,0,1.0,2020-02-28
38,11,5,1.833,2020-02-29
39,15,4,1.363,2020-03-01
40,18,3,1.2,2020-03-02
41,20,2,1.111,2020-03-03
42,20,0,1.0,2020-03-04
43,22,2,1.1,2020-03-05
44,25,3,1.136,2020-03-06
45,28,3,1.12,2020-03-07
46,29,1,1.035,2020-03-08
47,34,5,1.172,2020-03-09
48,36,2,1.058,2020-03-10
49,41,5,1.138,2020-03-11
50,42,1,1.024,2020-03-12
51,74,32,1.761,2020-03-13
52,79,5,1.067,2020-03-14
53,104,25,1.316,2020-03-15
54,177,73,1.701,2020-03-16
55,185,8,1.045,2020-03-17
56,221,36,1.194,2020-03-18
57,257,36,1.162,2020-03-19
58,308,51,1.198,2020-03-20
59,377,69,1.224,2020-03-21
60,425,48,1.127,2020-03-22
61,503,78,1.183,2020-03-23
62,588,85,1.168,2020-03-24
63,688,100,1.170,2020-03-25
64,858,170,1.247,2020-03-26
65,994,136,1.158,2020-03-27
66,1144,150,1.150,2020-03-28
67,1355,211,1.184,2020-03-29
68,1706,351,1.259,2020-03-30
69,1966,260,1.152,2020-03-31
70,2392,426,1.216,2020-04-01
71,2793,401,1.167,2020-04-02
72,3255,462,1.165,2020-04-03
73,3630,375,1.115,2020-04-04
74,4354,724,1.199,2020-04-05
75,4347,-7,0.998,2020-04-06
76,4726,379,1.087,2020-04-07
77,5276,550,1.116,2020-04-08
78,5759,483,1.091,2020-04-09
79,6237,478,1.083,2020-04-10
80,6648,411,1.065,2020-04-11
81,7049,401,1.060,2020-04-12
82,7470,421,1.059,2020-04-13
83,7953,483,1.064,2020-04-14
84,8447,494,1.062,2020-04-15
85,9840,1393,1.164,2020-04-16
86,10456,616,1.062,2020-04-17
87,11013,557,1.053,2020-04-18
88,11561,548,1.049,2020-04-19
89,12063,502,1.043,2020-04-20
90,12715,652,1.054,2020-04-21
91,13718,1003,1.078,2020-04-22
92,14068,350,1.025,2020-04-23
93,14550,482,1.034,2020-04-24
94,15012,462,1.031,2020-04-25
95,15568,556,1.037,2020-04-26
96,15970,402,1.025,2020-04-27
97,16500,530,1.033,2020-04-28
98,16978,478,1.028,2020-04-29
99,17395,417,1.024,2020-04-30
100,17880,485,1.027,2020-05-01
101,18321,441,1.024,2020-05-02
102,18574,253,1.013,2020-05-03
103,19097,523,1.028,2020-05-04
104,19468,371,1.019,2020-05-05
105,19910,442,1.022,2020-05-06
106,20388,478,1.024,2020-05-07
107,20826,438,1.021,2020-05-08
108,21148,322,1.015,2020-05-09
109,21469,321,1.015,2020-05-10
110,21817,348,1.016,2020-05-11
111,22158,341,1.015,2020-05-12
112,22516,358,1.016,2020-05-13
113,22865,349,1.015,2020-05-14
114,23258,393,1.017,2020-05-15
115,23645,387,1.016,2020-05-16
116,23974,329,1.013,2020-05-17
117,24286,312,1.013,2020-05-18
118,24755,469,1.019,2020-05-19
119,25197,442,1.017,2020-05-20
120,25595,398,1.015,2020-05-21
121,26085,490,1.019,2020-05-22
122,26560,475,1.018,2020-05-23
123,26897,337,1.012,2020-05-24
