day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,2,1,2.0,2020-03-19
58,2,0,1.0,2020-03-20
59,2,0,1.0,2020-03-21
60,3,1,1.5,2020-03-22
61,3,0,1.0,2020-03-23
62,3,0,1.0,2020-03-24
63,5,2,1.666,2020-03-25
64,5,0,1.0,2020-03-26
65,9,4,1.8,2020-03-27
66,11,2,1.222,2020-03-28
67,11,0,1.0,2020-03-29
68,18,7,1.636,2020-03-30
69,21,3,1.166,2020-03-31
70,21,0,1.0,2020-04-01
71,22,1,1.047,2020-04-02
72,22,0,1.0,2020-04-03
73,22,0,1.0,2020-04-04
74,22,0,1.0,2020-04-05
75,22,0,1.0,2020-04-06
76,22,0,1.0,2020-04-07
77,25,3,1.136,2020-04-08
78,25,0,1.0,2020-04-09
79,25,0,1.0,2020-04-10
80,25,0,1.0,2020-04-11
81,25,0,1.0,2020-04-12
82,25,0,1.0,2020-04-13
83,25,0,1.0,2020-04-14
84,26,1,1.04,2020-04-15
85,26,0,1.0,2020-04-16
86,26,0,1.0,2020-04-17
87,26,0,1.0,2020-04-18
88,26,0,1.0,2020-04-19
89,26,0,1.0,2020-04-20
90,26,0,1.0,2020-04-21
91,26,0,1.0,2020-04-22
92,26,0,1.0,2020-04-23
93,26,0,1.0,2020-04-24
94,26,0,1.0,2020-04-25
95,26,0,1.0,2020-04-26
96,26,0,1.0,2020-04-27
97,27,1,1.038,2020-04-28
98,27,0,1.0,2020-04-29
99,27,0,1.0,2020-04-30
100,27,0,1.0,2020-05-01
101,27,0,1.0,2020-05-02
102,27,0,1.0,2020-05-03
103,27,0,1.0,2020-05-04
104,27,0,1.0,2020-05-05
105,27,0,1.0,2020-05-06
106,27,0,1.0,2020-05-07
107,27,0,1.0,2020-05-08
108,27,0,1.0,2020-05-09
109,27,0,1.0,2020-05-10
110,27,0,1.0,2020-05-11
111,27,0,1.0,2020-05-12
112,27,0,1.0,2020-05-13
113,27,0,1.0,2020-05-14
114,27,0,1.0,2020-05-15
115,27,0,1.0,2020-05-16
116,27,0,1.0,2020-05-17
117,27,0,1.0,2020-05-18
118,27,0,1.0,2020-05-19
119,27,0,1.0,2020-05-20
120,27,0,1.0,2020-05-21
121,27,0,1.0,2020-05-22
122,27,0,1.0,2020-05-23
123,27,0,1.0,2020-05-24
