day,cases,cases_new,growth,date
37,1,1,1.0,2020-02-28
38,1,0,1.0,2020-02-29
39,1,0,1.0,2020-03-01
40,1,0,1.0,2020-03-02
41,1,0,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,2,1,2.0,2020-03-05
44,2,0,1.0,2020-03-06
45,3,1,1.5,2020-03-07
46,4,1,1.333,2020-03-08
47,4,0,1.0,2020-03-09
48,4,0,1.0,2020-03-10
49,8,4,2.0,2020-03-11
50,9,1,1.125,2020-03-12
51,17,8,1.888,2020-03-13
52,17,0,1.0,2020-03-14
53,24,7,1.411,2020-03-15
54,50,26,2.083,2020-03-16
55,74,24,1.48,2020-03-17
56,94,20,1.270,2020-03-18
57,121,27,1.287,2020-03-19
58,139,18,1.148,2020-03-20
59,181,42,1.302,2020-03-21
60,219,38,1.209,2020-03-22
61,628,409,2.867,2020-03-23
