day,cases,cases_new,growth,date
51,2,2,1.0,2020-03-13
52,2,0,1.0,2020-03-14
53,2,0,1.0,2020-03-15
54,7,5,3.5,2020-03-16
55,7,0,1.0,2020-03-17
56,8,1,1.142,2020-03-18
57,16,8,2.0,2020-03-19
58,20,4,1.25,2020-03-20
59,26,6,1.3,2020-03-21
60,52,26,2.0,2020-03-22
61,66,14,1.269,2020-03-23
62,72,6,1.090,2020-03-24
63,72,0,1.0,2020-03-25
64,95,23,1.319,2020-03-26
65,95,0,1.0,2020-03-27
66,134,39,1.410,2020-03-28
67,156,22,1.164,2020-03-29
68,156,0,1.0,2020-03-30
69,184,28,1.179,2020-03-31
70,193,9,1.048,2020-04-01
71,206,13,1.067,2020-04-02
72,220,14,1.067,2020-04-03
73,220,0,1.0,2020-04-04
74,249,29,1.131,2020-04-05
75,249,0,1.0,2020-04-06
76,260,11,1.044,2020-04-07
77,260,0,1.0,2020-04-08
78,271,11,1.042,2020-04-09
79,285,14,1.051,2020-04-10
80,289,4,1.014,2020-04-11
81,298,9,1.031,2020-04-12
82,300,2,1.006,2020-04-13
83,300,0,1.0,2020-04-14
84,304,4,1.013,2020-04-15
85,305,1,1.003,2020-04-16
86,307,2,1.006,2020-04-17
87,313,6,1.019,2020-04-18
88,315,2,1.006,2020-04-19
89,316,1,1.003,2020-04-20
90,320,4,1.012,2020-04-21
91,326,6,1.018,2020-04-22
92,331,5,1.015,2020-04-23
93,341,10,1.030,2020-04-24
94,349,8,1.023,2020-04-25
95,353,4,1.011,2020-04-26
96,365,12,1.033,2020-04-27
97,366,1,1.002,2020-04-28
98,383,17,1.046,2020-04-29
99,389,6,1.015,2020-04-30
100,415,26,1.066,2020-05-01
101,421,6,1.014,2020-05-02
102,433,12,1.028,2020-05-03
103,467,34,1.078,2020-05-04
104,487,20,1.042,2020-05-05
105,512,25,1.051,2020-05-06
106,531,19,1.037,2020-05-07
107,544,13,1.024,2020-05-08
108,553,9,1.016,2020-05-09
109,564,11,1.019,2020-05-10
110,568,4,1.007,2020-05-11
111,573,5,1.008,2020-05-12
112,577,4,1.006,2020-05-13
113,582,5,1.008,2020-05-14
114,590,8,1.013,2020-05-15
115,591,1,1.001,2020-05-16
116,592,1,1.001,2020-05-17
117,592,0,1.0,2020-05-18
118,599,7,1.011,2020-05-19
119,620,21,1.035,2020-05-20
120,622,2,1.003,2020-05-21
121,627,5,1.008,2020-05-22
122,630,3,1.004,2020-05-23
123,632,2,1.003,2020-05-24
