day,cases,cases_new,growth,date
64,3,3,1.0,2020-03-26
65,3,0,1.0,2020-03-27
66,4,1,1.333,2020-03-28
67,4,0,1.0,2020-03-29
68,4,0,1.0,2020-03-30
69,5,1,1.25,2020-03-31
70,5,0,1.0,2020-04-01
71,6,1,1.2,2020-04-02
72,6,0,1.0,2020-04-03
73,6,0,1.0,2020-04-04
74,6,0,1.0,2020-04-05
75,6,0,1.0,2020-04-06
76,7,1,1.166,2020-04-07
77,7,0,1.0,2020-04-08
78,7,0,1.0,2020-04-09
79,8,1,1.142,2020-04-10
80,8,0,1.0,2020-04-11
81,8,0,1.0,2020-04-12
82,8,0,1.0,2020-04-13
83,8,0,1.0,2020-04-14
84,8,0,1.0,2020-04-15
85,8,0,1.0,2020-04-16
86,8,0,1.0,2020-04-17
87,9,1,1.125,2020-04-18
88,9,0,1.0,2020-04-19
89,11,2,1.222,2020-04-20
90,11,0,1.0,2020-04-21
91,11,0,1.0,2020-04-22
92,11,0,1.0,2020-04-23
