day,cases,cases_new,growth,date
53,1,1,1.0,2020-03-15
54,1,0,1.0,2020-03-16
55,1,0,1.0,2020-03-17
56,1,0,1.0,2020-03-18
57,1,0,1.0,2020-03-19
58,3,2,3.0,2020-03-20
59,3,0,1.0,2020-03-21
60,3,0,1.0,2020-03-22
61,3,0,1.0,2020-03-23
62,3,0,1.0,2020-03-24
63,3,0,1.0,2020-03-25
64,3,0,1.0,2020-03-26
65,3,0,1.0,2020-03-27
66,3,0,1.0,2020-03-28
67,3,0,1.0,2020-03-29
68,3,0,1.0,2020-03-30
69,3,0,1.0,2020-03-31
70,3,0,1.0,2020-04-01
71,3,0,1.0,2020-04-02
72,8,5,2.666,2020-04-03
73,8,0,1.0,2020-04-04
74,8,0,1.0,2020-04-05
75,8,0,1.0,2020-04-06
76,8,0,1.0,2020-04-07
77,8,0,1.0,2020-04-08
78,8,0,1.0,2020-04-09
79,8,0,1.0,2020-04-10
80,8,0,1.0,2020-04-11
81,8,0,1.0,2020-04-12
82,11,3,1.375,2020-04-13
83,11,0,1.0,2020-04-14
84,12,1,1.090,2020-04-15
85,12,0,1.0,2020-04-16
86,12,0,1.0,2020-04-17
87,12,0,1.0,2020-04-18
88,12,0,1.0,2020-04-19
89,12,0,1.0,2020-04-20
90,14,2,1.166,2020-04-21
91,14,0,1.0,2020-04-22
92,16,2,1.142,2020-04-23
93,16,0,1.0,2020-04-24
94,16,0,1.0,2020-04-25
95,19,3,1.187,2020-04-26
96,19,0,1.0,2020-04-27
97,50,31,2.631,2020-04-28
98,50,0,1.0,2020-04-29
99,50,0,1.0,2020-04-30
100,72,22,1.44,2020-05-01
101,72,0,1.0,2020-05-02
102,72,0,1.0,2020-05-03
103,85,13,1.180,2020-05-04
104,85,0,1.0,2020-05-05
105,94,9,1.105,2020-05-06
106,94,0,1.0,2020-05-07
107,143,49,1.521,2020-05-08
108,143,0,1.0,2020-05-09
109,143,0,1.0,2020-05-10
110,143,0,1.0,2020-05-11
111,143,0,1.0,2020-05-12
112,143,0,1.0,2020-05-13
113,143,0,1.0,2020-05-14
114,301,158,2.104,2020-05-15
115,327,26,1.086,2020-05-16
116,327,0,1.0,2020-05-17
117,327,0,1.0,2020-05-18
118,366,39,1.119,2020-05-19
119,418,52,1.142,2020-05-20
120,436,18,1.043,2020-05-21
121,479,43,1.098,2020-05-22
122,552,73,1.152,2020-05-23
123,604,52,1.094,2020-05-24
