day,cases,cases_new,growth,date
57,1,1,1.0,2020-03-19
58,1,0,1.0,2020-03-20
59,1,0,1.0,2020-03-21
60,1,0,1.0,2020-03-22
61,1,0,1.0,2020-03-23
62,3,2,3.0,2020-03-24
63,3,0,1.0,2020-03-25
64,3,0,1.0,2020-03-26
65,3,0,1.0,2020-03-27
66,3,0,1.0,2020-03-28
67,3,0,1.0,2020-03-29
68,5,2,1.666,2020-03-30
69,7,2,1.4,2020-03-31
70,7,0,1.0,2020-04-01
71,8,1,1.142,2020-04-02
72,8,0,1.0,2020-04-03
73,9,1,1.125,2020-04-04
74,9,0,1.0,2020-04-05
75,9,0,1.0,2020-04-06
76,10,1,1.111,2020-04-07
77,10,0,1.0,2020-04-08
78,11,1,1.1,2020-04-09
79,11,0,1.0,2020-04-10
80,11,0,1.0,2020-04-11
81,18,7,1.636,2020-04-12
82,23,5,1.277,2020-04-13
83,23,0,1.0,2020-04-14
84,23,0,1.0,2020-04-15
85,27,4,1.173,2020-04-16
86,27,0,1.0,2020-04-17
87,33,6,1.222,2020-04-18
88,33,0,1.0,2020-04-19
89,33,0,1.0,2020-04-20
90,33,0,1.0,2020-04-21
91,33,0,1.0,2020-04-22
92,33,0,1.0,2020-04-23
93,40,7,1.212,2020-04-24
94,46,6,1.15,2020-04-25
95,46,0,1.0,2020-04-26
96,46,0,1.0,2020-04-27
97,52,6,1.130,2020-04-28
98,52,0,1.0,2020-04-29
99,73,21,1.403,2020-04-30
100,73,0,1.0,2020-05-01
101,117,44,1.602,2020-05-02
102,117,0,1.0,2020-05-03
103,117,0,1.0,2020-05-04
104,170,53,1.452,2020-05-05
105,170,0,1.0,2020-05-06
106,253,83,1.488,2020-05-07
107,260,7,1.027,2020-05-08
108,322,62,1.238,2020-05-09
109,322,0,1.0,2020-05-10
110,322,0,1.0,2020-05-11
111,357,35,1.108,2020-05-12
112,372,15,1.042,2020-05-13
113,399,27,1.072,2020-05-14
114,428,29,1.072,2020-05-15
115,474,46,1.107,2020-05-16
116,503,29,1.061,2020-05-17
117,519,16,1.031,2020-05-18
118,545,26,1.050,2020-05-19
119,565,20,1.036,2020-05-20
120,588,23,1.040,2020-05-21
121,611,23,1.039,2020-05-22
122,648,37,1.060,2020-05-23
123,675,27,1.041,2020-05-24
