day,cases,cases_new,growth,date
41,1,1,1.0,2020-03-03
42,1,0,1.0,2020-03-04
43,4,3,4.0,2020-03-05
44,4,0,1.0,2020-03-06
45,4,0,1.0,2020-03-07
46,8,4,2.0,2020-03-08
47,8,0,1.0,2020-03-09
48,13,5,1.625,2020-03-10
49,23,10,1.769,2020-03-11
50,29,6,1.260,2020-03-12
51,43,14,1.482,2020-03-13
52,61,18,1.418,2020-03-14
53,74,13,1.213,2020-03-15
54,155,81,2.094,2020-03-16
55,201,46,1.296,2020-03-17
56,238,37,1.184,2020-03-18
57,238,0,1.0,2020-03-19
58,434,196,1.823,2020-03-20
59,537,103,1.237,2020-03-21
60,632,95,1.176,2020-03-22
61,746,114,1.180,2020-03-23
62,922,176,1.235,2020-03-24
63,1142,220,1.238,2020-03-25
64,1306,164,1.143,2020-03-26
65,1610,304,1.232,2020-03-27
66,1909,299,1.185,2020-03-28
67,2139,230,1.120,2020-03-29
68,2449,310,1.144,2020-03-30
69,2738,289,1.118,2020-03-31
70,3031,293,1.107,2020-04-01
71,3404,373,1.123,2020-04-02
72,3737,333,1.097,2020-04-03
73,4161,424,1.113,2020-04-04
74,4471,310,1.074,2020-04-05
75,4815,344,1.076,2020-04-06
76,5116,301,1.062,2020-04-07
77,5546,430,1.084,2020-04-08
78,5972,426,1.076,2020-04-09
79,6501,529,1.088,2020-04-10
80,6927,426,1.065,2020-04-11
81,7213,286,1.041,2020-04-12
82,7525,312,1.043,2020-04-13
83,7917,392,1.052,2020-04-14
84,8273,356,1.044,2020-04-15
85,8807,534,1.064,2020-04-16
86,9252,445,1.050,2020-04-17
87,9730,478,1.051,2020-04-18
88,10088,358,1.036,2020-04-19
89,10507,419,1.041,2020-04-20
90,10832,325,1.030,2020-04-21
91,11296,464,1.042,2020-04-22
92,11812,516,1.045,2020-04-23
93,12306,494,1.041,2020-04-24
94,12858,552,1.044,2020-04-25
95,13331,473,1.036,2020-04-26
96,13813,482,1.036,2020-04-27
97,14365,552,1.039,2020-04-28
98,14885,520,1.036,2020-04-29
99,16023,1138,1.076,2020-04-30
100,17008,985,1.061,2020-05-01
101,18435,1427,1.083,2020-05-02
102,19663,1228,1.066,2020-05-03
103,20643,980,1.049,2020-05-04
104,22016,1373,1.066,2020-05-05
105,23048,1032,1.046,2020-05-06
106,24581,1533,1.066,2020-05-07
107,25972,1391,1.056,2020-05-08
108,27219,1247,1.048,2020-05-09
109,28866,1647,1.060,2020-05-10
110,30063,1197,1.041,2020-05-11
111,31721,1658,1.055,2020-05-12
112,34381,2660,1.083,2020-05-13
113,37040,2659,1.077,2020-05-14
114,39542,2502,1.067,2020-05-15
115,41428,1886,1.047,2020-05-16
116,43781,2353,1.056,2020-05-17
117,46059,2278,1.052,2020-05-18
118,49579,3520,1.076,2020-05-19
119,53617,4038,1.081,2020-05-20
120,57581,3964,1.073,2020-05-21
121,61857,4276,1.074,2020-05-22
122,65393,3536,1.057,2020-05-23
123,69102,3709,1.056,2020-05-24
