day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,9,8,9.0,2020-01-23
2,15,6,1.666,2020-01-24
3,39,24,2.6,2020-01-25
4,60,21,1.538,2020-01-26
5,70,10,1.166,2020-01-27
6,106,36,1.514,2020-01-28
7,152,46,1.433,2020-01-29
8,200,48,1.315,2020-01-30
9,237,37,1.185,2020-01-31
10,297,60,1.253,2020-02-01
11,340,43,1.144,2020-02-02
12,408,68,1.2,2020-02-03
13,480,72,1.176,2020-02-04
14,530,50,1.104,2020-02-05
15,591,61,1.115,2020-02-06
16,665,74,1.125,2020-02-07
17,733,68,1.102,2020-02-08
18,779,46,1.062,2020-02-09
19,830,51,1.065,2020-02-10
20,860,30,1.036,2020-02-11
21,889,29,1.033,2020-02-12
22,910,21,1.023,2020-02-13
23,934,24,1.026,2020-02-14
24,950,16,1.017,2020-02-15
25,962,12,1.012,2020-02-16
26,973,11,1.011,2020-02-17
27,982,9,1.009,2020-02-18
28,986,4,1.004,2020-02-19
29,987,1,1.001,2020-02-20
30,988,1,1.001,2020-02-21
31,989,1,1.001,2020-02-22
32,989,0,1.0,2020-02-23
33,989,0,1.0,2020-02-24
34,989,0,1.0,2020-02-25
35,989,0,1.0,2020-02-26
36,989,0,1.0,2020-02-27
37,990,1,1.001,2020-02-28
38,990,0,1.0,2020-02-29
39,990,0,1.0,2020-03-01
40,990,0,1.0,2020-03-02
41,990,0,1.0,2020-03-03
42,990,0,1.0,2020-03-04
43,990,0,1.0,2020-03-05
44,990,0,1.0,2020-03-06
45,990,0,1.0,2020-03-07
46,990,0,1.0,2020-03-08
47,990,0,1.0,2020-03-09
48,990,0,1.0,2020-03-10
49,990,0,1.0,2020-03-11
50,990,0,1.0,2020-03-12
51,990,0,1.0,2020-03-13
52,990,0,1.0,2020-03-14
53,990,0,1.0,2020-03-15
54,990,0,1.0,2020-03-16
55,990,0,1.0,2020-03-17
56,990,0,1.0,2020-03-18
57,990,0,1.0,2020-03-19
58,990,0,1.0,2020-03-20
59,990,0,1.0,2020-03-21
60,990,0,1.0,2020-03-22
61,990,0,1.0,2020-03-23
62,990,0,1.0,2020-03-24
63,990,0,1.0,2020-03-25
64,990,0,1.0,2020-03-26
65,990,0,1.0,2020-03-27
66,990,0,1.0,2020-03-28
67,990,0,1.0,2020-03-29
68,990,0,1.0,2020-03-30
69,990,0,1.0,2020-03-31
70,990,0,1.0,2020-04-01
71,990,0,1.0,2020-04-02
72,990,0,1.0,2020-04-03
73,990,0,1.0,2020-04-04
74,990,0,1.0,2020-04-05
75,990,0,1.0,2020-04-06
76,990,0,1.0,2020-04-07
77,990,0,1.0,2020-04-08
78,991,1,1.001,2020-04-09
79,991,0,1.0,2020-04-10
80,991,0,1.0,2020-04-11
81,991,0,1.0,2020-04-12
82,991,0,1.0,2020-04-13
83,991,0,1.0,2020-04-14
84,991,0,1.0,2020-04-15
85,991,0,1.0,2020-04-16
86,991,0,1.0,2020-04-17
87,991,0,1.0,2020-04-18
88,991,0,1.0,2020-04-19
89,991,0,1.0,2020-04-20
90,991,0,1.0,2020-04-21
91,991,0,1.0,2020-04-22
92,991,0,1.0,2020-04-23
