day,cases,cases_new,growth,date
0,14,14,1.0,2020-01-22
1,22,8,1.571,2020-01-23
2,36,14,1.636,2020-01-24
3,41,5,1.138,2020-01-25
4,68,27,1.658,2020-01-26
5,80,12,1.176,2020-01-27
6,91,11,1.137,2020-01-28
7,111,20,1.219,2020-01-29
8,114,3,1.027,2020-01-30
9,139,25,1.219,2020-01-31
10,168,29,1.208,2020-02-01
11,191,23,1.136,2020-02-02
12,212,21,1.109,2020-02-03
13,228,16,1.075,2020-02-04
14,253,25,1.109,2020-02-05
15,274,21,1.083,2020-02-06
16,297,23,1.083,2020-02-07
17,315,18,1.060,2020-02-08
18,326,11,1.034,2020-02-09
19,337,11,1.033,2020-02-10
20,342,5,1.014,2020-02-11
21,352,10,1.029,2020-02-12
22,366,14,1.039,2020-02-13
23,372,6,1.016,2020-02-14
24,375,3,1.008,2020-02-15
25,380,5,1.013,2020-02-16
26,381,1,1.002,2020-02-17
27,387,6,1.015,2020-02-18
28,393,6,1.015,2020-02-19
29,395,2,1.005,2020-02-20
30,396,1,1.002,2020-02-21
31,399,3,1.007,2020-02-22
32,399,0,1.0,2020-02-23
33,399,0,1.0,2020-02-24
34,400,1,1.002,2020-02-25
35,400,0,1.0,2020-02-26
36,410,10,1.025,2020-02-27
37,410,0,1.0,2020-02-28
38,411,1,1.002,2020-02-29
39,413,2,1.004,2020-03-01
40,414,1,1.002,2020-03-02
41,414,0,1.0,2020-03-03
42,418,4,1.009,2020-03-04
43,418,0,1.0,2020-03-05
44,422,4,1.009,2020-03-06
45,426,4,1.009,2020-03-07
46,428,2,1.004,2020-03-08
47,428,0,1.0,2020-03-09
48,429,1,1.002,2020-03-10
49,435,6,1.013,2020-03-11
50,435,0,1.0,2020-03-12
51,436,1,1.002,2020-03-13
52,437,1,1.002,2020-03-14
53,442,5,1.011,2020-03-15
54,452,10,1.022,2020-03-16
55,456,4,1.008,2020-03-17
56,469,13,1.028,2020-03-18
57,480,11,1.023,2020-03-19
58,491,11,1.022,2020-03-20
59,504,13,1.026,2020-03-21
