day,cases,cases_new,growth,date
0,6,6,1.0,2020-01-22
1,9,3,1.5,2020-01-23
2,27,18,3.0,2020-01-24
3,57,30,2.111,2020-01-25
4,75,18,1.315,2020-01-26
5,110,35,1.466,2020-01-27
6,132,22,1.2,2020-01-28
7,147,15,1.113,2020-01-29
8,182,35,1.238,2020-01-30
9,211,29,1.159,2020-01-31
10,247,36,1.170,2020-02-01
11,300,53,1.214,2020-02-02
12,337,37,1.123,2020-02-03
13,366,29,1.086,2020-02-04
14,389,23,1.062,2020-02-05
15,411,22,1.056,2020-02-06
16,426,15,1.036,2020-02-07
17,428,2,1.004,2020-02-08
18,468,40,1.093,2020-02-09
19,486,18,1.038,2020-02-10
20,505,19,1.039,2020-02-11
21,518,13,1.025,2020-02-12
22,529,11,1.021,2020-02-13
23,537,8,1.015,2020-02-14
24,544,7,1.013,2020-02-15
25,551,7,1.012,2020-02-16
26,553,2,1.003,2020-02-17
27,555,2,1.003,2020-02-18
28,560,5,1.009,2020-02-19
29,567,7,1.012,2020-02-20
30,572,5,1.008,2020-02-21
31,573,1,1.001,2020-02-22
32,575,2,1.003,2020-02-23
33,576,1,1.001,2020-02-24
34,576,0,1.0,2020-02-25
35,576,0,1.0,2020-02-26
36,576,0,1.0,2020-02-27
37,576,0,1.0,2020-02-28
38,576,0,1.0,2020-02-29
39,576,0,1.0,2020-03-01
40,576,0,1.0,2020-03-02
41,576,0,1.0,2020-03-03
42,576,0,1.0,2020-03-04
43,576,0,1.0,2020-03-05
44,576,0,1.0,2020-03-06
45,576,0,1.0,2020-03-07
46,576,0,1.0,2020-03-08
47,576,0,1.0,2020-03-09
48,576,0,1.0,2020-03-10
49,576,0,1.0,2020-03-11
50,576,0,1.0,2020-03-12
51,576,0,1.0,2020-03-13
52,576,0,1.0,2020-03-14
53,576,0,1.0,2020-03-15
54,576,0,1.0,2020-03-16
55,576,0,1.0,2020-03-17
56,576,0,1.0,2020-03-18
