day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,5,4,5.0,2020-01-23
2,10,5,2.0,2020-01-24
3,18,8,1.8,2020-01-25
4,35,17,1.944,2020-01-26
5,59,24,1.685,2020-01-27
6,80,21,1.355,2020-01-28
7,84,4,1.05,2020-01-29
8,101,17,1.202,2020-01-30
9,120,19,1.188,2020-01-31
10,144,24,1.2,2020-02-01
11,159,15,1.104,2020-02-02
12,179,20,1.125,2020-02-03
13,194,15,1.083,2020-02-04
14,205,11,1.056,2020-02-05
15,215,10,1.048,2020-02-06
16,224,9,1.041,2020-02-07
17,239,15,1.066,2020-02-08
18,250,11,1.046,2020-02-09
19,261,11,1.044,2020-02-10
20,267,6,1.022,2020-02-11
21,272,5,1.018,2020-02-12
22,279,7,1.025,2020-02-13
23,281,2,1.007,2020-02-14
24,285,4,1.014,2020-02-15
25,287,2,1.007,2020-02-16
26,290,3,1.010,2020-02-17
27,292,2,1.006,2020-02-18
28,293,1,1.003,2020-02-19
29,293,0,1.0,2020-02-20
30,293,0,1.0,2020-02-21
31,293,0,1.0,2020-02-22
32,293,0,1.0,2020-02-23
33,293,0,1.0,2020-02-24
34,294,1,1.003,2020-02-25
35,294,0,1.0,2020-02-26
36,296,2,1.006,2020-02-27
37,296,0,1.0,2020-02-28
38,296,0,1.0,2020-02-29
39,296,0,1.0,2020-03-01
40,296,0,1.0,2020-03-02
41,296,0,1.0,2020-03-03
42,296,0,1.0,2020-03-04
43,296,0,1.0,2020-03-05
44,296,0,1.0,2020-03-06
45,296,0,1.0,2020-03-07
46,296,0,1.0,2020-03-08
47,296,0,1.0,2020-03-09
48,296,0,1.0,2020-03-10
49,296,0,1.0,2020-03-11
50,296,0,1.0,2020-03-12
51,296,0,1.0,2020-03-13
52,296,0,1.0,2020-03-14
53,296,0,1.0,2020-03-15
54,296,0,1.0,2020-03-16
55,296,0,1.0,2020-03-17
56,296,0,1.0,2020-03-18
57,296,0,1.0,2020-03-19
58,299,3,1.010,2020-03-20
59,303,4,1.013,2020-03-21
