day,cases,cases_new,growth,date
1,2,2,1.0,2020-01-23
2,2,0,1.0,2020-01-24
3,4,2,2.0,2020-01-25
4,7,3,1.75,2020-01-26
5,14,7,2.0,2020-01-27
6,19,5,1.357,2020-01-28
7,24,5,1.263,2020-01-29
8,26,2,1.083,2020-01-30
9,29,3,1.115,2020-01-31
10,40,11,1.379,2020-02-01
11,51,11,1.275,2020-02-02
12,55,4,1.078,2020-02-03
13,57,2,1.036,2020-02-04
14,62,5,1.087,2020-02-05
15,62,0,1.0,2020-02-06
16,67,5,1.080,2020-02-07
17,79,12,1.179,2020-02-08
18,83,4,1.050,2020-02-09
19,83,0,1.0,2020-02-10
20,86,3,1.036,2020-02-11
21,87,1,1.011,2020-02-12
22,90,3,1.034,2020-02-13
23,90,0,1.0,2020-02-14
24,90,0,1.0,2020-02-15
25,90,0,1.0,2020-02-16
26,91,1,1.011,2020-02-17
27,91,0,1.0,2020-02-18
28,91,0,1.0,2020-02-19
29,91,0,1.0,2020-02-20
30,91,0,1.0,2020-02-21
31,91,0,1.0,2020-02-22
32,91,0,1.0,2020-02-23
33,91,0,1.0,2020-02-24
34,91,0,1.0,2020-02-25
35,91,0,1.0,2020-02-26
36,91,0,1.0,2020-02-27
37,91,0,1.0,2020-02-28
38,91,0,1.0,2020-02-29
39,91,0,1.0,2020-03-01
40,91,0,1.0,2020-03-02
41,91,0,1.0,2020-03-03
42,91,0,1.0,2020-03-04
43,102,11,1.120,2020-03-05
44,119,17,1.166,2020-03-06
45,120,1,1.008,2020-03-07
46,124,4,1.033,2020-03-08
47,124,0,1.0,2020-03-09
48,125,1,1.008,2020-03-10
49,127,2,1.016,2020-03-11
50,127,0,1.0,2020-03-12
51,127,0,1.0,2020-03-13
52,129,2,1.015,2020-03-14
53,133,4,1.031,2020-03-15
54,133,0,1.0,2020-03-16
55,133,0,1.0,2020-03-17
56,133,0,1.0,2020-03-18
57,134,1,1.007,2020-03-19
58,134,0,1.0,2020-03-20
59,134,0,1.0,2020-03-21
60,136,2,1.014,2020-03-22
61,136,0,1.0,2020-03-23
62,136,0,1.0,2020-03-24
63,136,0,1.0,2020-03-25
64,136,0,1.0,2020-03-26
65,136,0,1.0,2020-03-27
66,136,0,1.0,2020-03-28
67,138,2,1.014,2020-03-29
68,138,0,1.0,2020-03-30
69,138,0,1.0,2020-03-31
70,138,0,1.0,2020-04-01
71,138,0,1.0,2020-04-02
72,138,0,1.0,2020-04-03
73,138,0,1.0,2020-04-04
74,138,0,1.0,2020-04-05
75,139,1,1.007,2020-04-06
76,139,0,1.0,2020-04-07
77,139,0,1.0,2020-04-08
78,139,0,1.0,2020-04-09
79,139,0,1.0,2020-04-10
80,139,0,1.0,2020-04-11
81,139,0,1.0,2020-04-12
82,139,0,1.0,2020-04-13
83,139,0,1.0,2020-04-14
84,139,0,1.0,2020-04-15
85,139,0,1.0,2020-04-16
86,139,0,1.0,2020-04-17
87,139,0,1.0,2020-04-18
88,139,0,1.0,2020-04-19
89,139,0,1.0,2020-04-20
90,139,0,1.0,2020-04-21
91,139,0,1.0,2020-04-22
92,139,0,1.0,2020-04-23
