day,cases,cases_new,growth,date
0,26,26,1.0,2020-01-22
1,32,6,1.230,2020-01-23
2,53,21,1.656,2020-01-24
3,78,25,1.471,2020-01-25
4,111,33,1.423,2020-01-26
5,151,40,1.360,2020-01-27
6,207,56,1.370,2020-01-28
7,277,70,1.338,2020-01-29
8,354,77,1.277,2020-01-30
9,436,82,1.231,2020-01-31
10,535,99,1.227,2020-02-01
11,632,97,1.181,2020-02-02
12,725,93,1.147,2020-02-03
13,813,88,1.121,2020-02-04
14,895,82,1.100,2020-02-05
15,970,75,1.083,2020-02-06
16,1034,64,1.065,2020-02-07
17,1095,61,1.058,2020-02-08
18,1131,36,1.032,2020-02-09
19,1159,28,1.024,2020-02-10
20,1177,18,1.015,2020-02-11
21,1219,42,1.035,2020-02-12
22,1241,22,1.018,2020-02-13
23,1261,20,1.016,2020-02-14
24,1294,33,1.026,2020-02-15
25,1316,22,1.017,2020-02-16
26,1322,6,1.004,2020-02-17
27,1328,6,1.004,2020-02-18
28,1331,3,1.002,2020-02-19
29,1332,1,1.000,2020-02-20
30,1333,1,1.000,2020-02-21
31,1339,6,1.004,2020-02-22
32,1342,3,1.002,2020-02-23
33,1345,3,1.002,2020-02-24
34,1347,2,1.001,2020-02-25
35,1347,0,1.0,2020-02-26
36,1347,0,1.0,2020-02-27
37,1348,1,1.000,2020-02-28
38,1349,1,1.000,2020-02-29
39,1349,0,1.0,2020-03-01
40,1350,1,1.000,2020-03-02
41,1350,0,1.0,2020-03-03
42,1350,0,1.0,2020-03-04
43,1351,1,1.000,2020-03-05
44,1352,1,1.000,2020-03-06
45,1352,0,1.0,2020-03-07
46,1352,0,1.0,2020-03-08
47,1352,0,1.0,2020-03-09
48,1353,1,1.000,2020-03-10
49,1356,3,1.002,2020-03-11
50,1356,0,1.0,2020-03-12
51,1356,0,1.0,2020-03-13
52,1356,0,1.0,2020-03-14
53,1360,4,1.002,2020-03-15
54,1361,1,1.000,2020-03-16
55,1364,3,1.002,2020-03-17
56,1370,6,1.004,2020-03-18
57,1378,8,1.005,2020-03-19
58,1395,17,1.012,2020-03-20
59,1400,5,1.003,2020-03-21
60,1413,13,1.009,2020-03-22
61,1415,2,1.001,2020-03-23
62,1428,13,1.009,2020-03-24
63,1433,5,1.003,2020-03-25
64,1448,15,1.010,2020-03-26
65,1456,8,1.005,2020-03-27
66,1467,11,1.007,2020-03-28
67,1475,8,1.005,2020-03-29
68,1484,9,1.006,2020-03-30
69,1494,10,1.006,2020-03-31
70,1501,7,1.004,2020-04-01
71,1507,6,1.003,2020-04-02
72,1514,7,1.004,2020-04-03
73,1516,2,1.001,2020-04-04
74,1524,8,1.005,2020-04-05
75,1532,8,1.005,2020-04-06
76,1533,1,1.000,2020-04-07
77,1536,3,1.001,2020-04-08
78,1539,3,1.001,2020-04-09
79,1544,5,1.003,2020-04-10
80,1548,4,1.002,2020-04-11
81,1552,4,1.002,2020-04-12
82,1555,3,1.001,2020-04-13
83,1564,9,1.005,2020-04-14
84,1566,2,1.001,2020-04-15
85,1571,5,1.003,2020-04-16
86,1577,6,1.003,2020-04-17
87,1579,2,1.001,2020-04-18
88,1580,1,1.000,2020-04-19
89,1581,1,1.000,2020-04-20
90,1582,1,1.000,2020-04-21
91,1582,0,1.0,2020-04-22
92,1585,3,1.001,2020-04-23
93,1585,0,1.0,2020-04-24
94,1586,1,1.000,2020-04-25
95,1587,1,1.000,2020-04-26
96,1587,0,1.0,2020-04-27
97,1588,1,1.000,2020-04-28
98,1588,0,1.0,2020-04-29
99,1588,0,1.0,2020-04-30
100,1588,0,1.0,2020-05-01
101,1588,0,1.0,2020-05-02
102,1588,0,1.0,2020-05-03
103,1588,0,1.0,2020-05-04
104,1588,0,1.0,2020-05-05
105,1589,1,1.000,2020-05-06
106,1589,0,1.0,2020-05-07
107,1589,0,1.0,2020-05-08
108,1589,0,1.0,2020-05-09
109,1589,0,1.0,2020-05-10
110,1589,0,1.0,2020-05-11
111,1589,0,1.0,2020-05-12
112,1589,0,1.0,2020-05-13
113,1589,0,1.0,2020-05-14
114,1589,0,1.0,2020-05-15
115,1590,1,1.000,2020-05-16
116,1590,0,1.0,2020-05-17
117,1590,0,1.0,2020-05-18
118,1590,0,1.0,2020-05-19
119,1590,0,1.0,2020-05-20
120,1590,0,1.0,2020-05-21
121,1591,1,1.000,2020-05-22
122,1592,1,1.000,2020-05-23
123,1592,0,1.0,2020-05-24
