day,cases,cases_new,growth,date
0,4,4,1.0,2020-01-22
1,5,1,1.25,2020-01-23
2,8,3,1.6,2020-01-24
3,19,11,2.375,2020-01-25
4,22,3,1.157,2020-01-26
5,33,11,1.5,2020-01-27
6,40,7,1.212,2020-01-28
7,43,3,1.075,2020-01-29
8,46,3,1.069,2020-01-30
9,52,6,1.130,2020-01-31
10,62,10,1.192,2020-02-01
11,64,2,1.032,2020-02-02
12,72,8,1.125,2020-02-03
13,80,8,1.111,2020-02-04
14,99,19,1.237,2020-02-05
15,106,7,1.070,2020-02-06
16,117,11,1.103,2020-02-07
17,124,7,1.059,2020-02-08
18,131,7,1.056,2020-02-09
19,138,7,1.053,2020-02-10
20,144,6,1.043,2020-02-11
21,157,13,1.090,2020-02-12
22,157,0,1.0,2020-02-13
23,159,2,1.012,2020-02-14
24,162,3,1.018,2020-02-15
25,162,0,1.0,2020-02-16
26,163,1,1.006,2020-02-17
27,163,0,1.0,2020-02-18
28,168,5,1.030,2020-02-19
29,168,0,1.0,2020-02-20
30,168,0,1.0,2020-02-21
31,168,0,1.0,2020-02-22
32,168,0,1.0,2020-02-23
33,168,0,1.0,2020-02-24
34,168,0,1.0,2020-02-25
35,168,0,1.0,2020-02-26
36,168,0,1.0,2020-02-27
37,168,0,1.0,2020-02-28
38,168,0,1.0,2020-02-29
39,168,0,1.0,2020-03-01
40,168,0,1.0,2020-03-02
41,168,0,1.0,2020-03-03
42,168,0,1.0,2020-03-04
43,168,0,1.0,2020-03-05
44,168,0,1.0,2020-03-06
45,168,0,1.0,2020-03-07
46,168,0,1.0,2020-03-08
47,168,0,1.0,2020-03-09
48,168,0,1.0,2020-03-10
49,168,0,1.0,2020-03-11
50,168,0,1.0,2020-03-12
51,168,0,1.0,2020-03-13
52,168,0,1.0,2020-03-14
53,168,0,1.0,2020-03-15
54,168,0,1.0,2020-03-16
55,168,0,1.0,2020-03-17
56,168,0,1.0,2020-03-18
57,168,0,1.0,2020-03-19
58,168,0,1.0,2020-03-20
59,168,0,1.0,2020-03-21
60,168,0,1.0,2020-03-22
61,168,0,1.0,2020-03-23
