day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,1,0,1.0,2020-01-23
2,2,1,2.0,2020-01-24
3,8,6,4.0,2020-01-25
4,13,5,1.625,2020-01-26
5,18,5,1.384,2020-01-27
6,33,15,1.833,2020-01-28
7,48,15,1.454,2020-01-29
8,65,17,1.354,2020-01-30
9,82,17,1.261,2020-01-31
10,96,14,1.170,2020-02-01
11,104,8,1.083,2020-02-02
12,113,9,1.086,2020-02-03
13,126,13,1.115,2020-02-04
14,135,9,1.071,2020-02-05
15,157,22,1.162,2020-02-06
16,172,15,1.095,2020-02-07
17,195,23,1.133,2020-02-08
18,206,11,1.056,2020-02-09
19,218,12,1.058,2020-02-10
20,239,21,1.096,2020-02-11
21,251,12,1.050,2020-02-12
22,265,14,1.055,2020-02-13
23,283,18,1.067,2020-02-14
24,291,8,1.028,2020-02-15
25,300,9,1.030,2020-02-16
26,301,1,1.003,2020-02-17
27,306,5,1.016,2020-02-18
28,306,0,1.0,2020-02-19
29,307,1,1.003,2020-02-20
30,308,1,1.003,2020-02-21
31,309,1,1.003,2020-02-22
32,311,2,1.006,2020-02-23
33,311,0,1.0,2020-02-24
34,311,0,1.0,2020-02-25
35,312,1,1.003,2020-02-26
36,317,5,1.016,2020-02-27
37,318,1,1.003,2020-02-28
38,318,0,1.0,2020-02-29
39,318,0,1.0,2020-03-01
40,318,0,1.0,2020-03-02
41,318,0,1.0,2020-03-03
42,318,0,1.0,2020-03-04
43,318,0,1.0,2020-03-05
44,318,0,1.0,2020-03-06
45,318,0,1.0,2020-03-07
46,318,0,1.0,2020-03-08
47,318,0,1.0,2020-03-09
48,318,0,1.0,2020-03-10
49,318,0,1.0,2020-03-11
50,318,0,1.0,2020-03-12
51,318,0,1.0,2020-03-13
52,318,0,1.0,2020-03-14
53,318,0,1.0,2020-03-15
54,318,0,1.0,2020-03-16
55,318,0,1.0,2020-03-17
56,318,0,1.0,2020-03-18
