day,cases,cases_new,growth,date
1,2,2,1.0,2020-01-23
2,4,2,2.0,2020-01-24
3,9,5,2.25,2020-01-25
4,15,6,1.666,2020-01-26
5,21,6,1.4,2020-01-27
6,33,12,1.571,2020-01-28
7,38,5,1.151,2020-01-29
8,44,6,1.157,2020-01-30
9,59,15,1.340,2020-01-31
10,80,21,1.355,2020-02-01
11,95,15,1.187,2020-02-02
12,121,26,1.273,2020-02-03
13,155,34,1.280,2020-02-04
14,190,35,1.225,2020-02-05
15,227,37,1.194,2020-02-06
16,277,50,1.220,2020-02-07
17,295,18,1.064,2020-02-08
18,307,12,1.040,2020-02-09
19,331,24,1.078,2020-02-10
20,360,29,1.087,2020-02-11
21,378,18,1.05,2020-02-12
22,395,17,1.044,2020-02-13
23,419,24,1.060,2020-02-14
24,425,6,1.014,2020-02-15
25,445,20,1.047,2020-02-16
26,457,12,1.026,2020-02-17
27,464,7,1.015,2020-02-18
28,470,6,1.012,2020-02-19
29,476,6,1.012,2020-02-20
30,479,3,1.006,2020-02-21
31,479,0,1.0,2020-02-22
32,480,1,1.002,2020-02-23
33,480,0,1.0,2020-02-24
34,480,0,1.0,2020-02-25
35,480,0,1.0,2020-02-26
36,480,0,1.0,2020-02-27
37,480,0,1.0,2020-02-28
38,480,0,1.0,2020-02-29
39,480,0,1.0,2020-03-01
40,480,0,1.0,2020-03-02
41,480,0,1.0,2020-03-03
42,480,0,1.0,2020-03-04
43,481,1,1.002,2020-03-05
44,481,0,1.0,2020-03-06
45,481,0,1.0,2020-03-07
46,481,0,1.0,2020-03-08
47,481,0,1.0,2020-03-09
48,481,0,1.0,2020-03-10
49,482,1,1.002,2020-03-11
50,482,0,1.0,2020-03-12
51,482,0,1.0,2020-03-13
52,482,0,1.0,2020-03-14
53,482,0,1.0,2020-03-15
54,482,0,1.0,2020-03-16
55,482,0,1.0,2020-03-17
56,482,0,1.0,2020-03-18
57,483,1,1.002,2020-03-19
58,484,1,1.002,2020-03-20
59,484,0,1.0,2020-03-21
60,484,0,1.0,2020-03-22
61,484,0,1.0,2020-03-23
62,484,0,1.0,2020-03-24
63,484,0,1.0,2020-03-25
