day,cases,cases_new,growth,date
1,2,2,1.0,2020-01-23
2,2,0,1.0,2020-01-24
3,5,3,2.5,2020-01-25
4,8,3,1.6,2020-01-26
5,8,0,1.0,2020-01-27
6,8,0,1.0,2020-01-28
7,10,2,1.25,2020-01-29
8,10,0,1.0,2020-01-30
9,12,2,1.2,2020-01-31
10,13,1,1.083,2020-02-01
11,15,2,1.153,2020-02-02
12,15,0,1.0,2020-02-03
13,17,2,1.133,2020-02-04
14,21,4,1.235,2020-02-05
15,24,3,1.142,2020-02-06
16,25,1,1.041,2020-02-07
17,26,1,1.04,2020-02-08
18,29,3,1.115,2020-02-09
19,38,9,1.310,2020-02-10
20,49,11,1.289,2020-02-11
21,50,1,1.020,2020-02-12
22,53,3,1.06,2020-02-13
23,56,3,1.056,2020-02-14
24,56,0,1.0,2020-02-15
25,57,1,1.017,2020-02-16
26,60,3,1.052,2020-02-17
27,62,2,1.033,2020-02-18
28,63,1,1.016,2020-02-19
29,68,5,1.079,2020-02-20
30,68,0,1.0,2020-02-21
31,69,1,1.014,2020-02-22
32,74,5,1.072,2020-02-23
33,79,5,1.067,2020-02-24
34,84,5,1.063,2020-02-25
35,91,7,1.083,2020-02-26
36,92,1,1.010,2020-02-27
37,94,2,1.021,2020-02-28
38,95,1,1.010,2020-02-29
39,96,1,1.010,2020-03-01
40,100,4,1.041,2020-03-02
41,100,0,1.0,2020-03-03
42,105,5,1.05,2020-03-04
43,105,0,1.0,2020-03-05
44,107,2,1.019,2020-03-06
45,108,1,1.009,2020-03-07
46,114,6,1.055,2020-03-08
47,115,1,1.008,2020-03-09
48,120,5,1.043,2020-03-10
49,126,6,1.05,2020-03-11
50,129,3,1.023,2020-03-12
51,134,5,1.038,2020-03-13
52,140,6,1.044,2020-03-14
53,145,5,1.035,2020-03-15
54,155,10,1.068,2020-03-16
55,162,7,1.045,2020-03-17
56,181,19,1.117,2020-03-18
57,208,27,1.149,2020-03-19
58,256,48,1.230,2020-03-20
59,273,17,1.066,2020-03-21
60,317,44,1.161,2020-03-22
61,356,39,1.123,2020-03-23
62,386,30,1.084,2020-03-24
63,410,24,1.062,2020-03-25
64,453,43,1.104,2020-03-26
65,519,66,1.145,2020-03-27
66,561,42,1.080,2020-03-28
67,641,80,1.142,2020-03-29
68,682,41,1.063,2020-03-30
69,714,32,1.046,2020-03-31
70,765,51,1.071,2020-04-01
71,802,37,1.048,2020-04-02
72,845,43,1.053,2020-04-03
73,862,17,1.020,2020-04-04
74,890,28,1.032,2020-04-05
75,914,24,1.026,2020-04-06
76,935,21,1.022,2020-04-07
77,960,25,1.026,2020-04-08
78,973,13,1.013,2020-04-09
79,989,16,1.016,2020-04-10
80,1000,11,1.011,2020-04-11
81,1004,4,1.004,2020-04-12
82,1009,5,1.004,2020-04-13
83,1012,3,1.002,2020-04-14
84,1017,5,1.004,2020-04-15
85,1017,0,1.0,2020-04-16
86,1021,4,1.003,2020-04-17
87,1024,3,1.002,2020-04-18
88,1025,1,1.000,2020-04-19
89,1025,0,1.0,2020-04-20
90,1029,4,1.003,2020-04-21
91,1033,4,1.003,2020-04-22
92,1035,2,1.001,2020-04-23
