day,cases,cases_new,growth,date
0,444,444,1.0,2020-01-22
1,444,0,1.0,2020-01-23
2,549,105,1.236,2020-01-24
3,761,212,1.386,2020-01-25
4,1058,297,1.390,2020-01-26
5,1423,365,1.344,2020-01-27
6,3554,2131,2.497,2020-01-28
7,3554,0,1.0,2020-01-29
8,4903,1349,1.379,2020-01-30
9,5806,903,1.184,2020-01-31
10,7153,1347,1.232,2020-02-01
11,11177,4024,1.562,2020-02-02
12,13522,2345,1.209,2020-02-03
13,16678,3156,1.233,2020-02-04
14,19665,2987,1.179,2020-02-05
15,22112,2447,1.124,2020-02-06
16,24953,2841,1.128,2020-02-07
17,27100,2147,1.086,2020-02-08
18,29631,2531,1.093,2020-02-09
19,31728,2097,1.070,2020-02-10
20,33366,1638,1.051,2020-02-11
21,33366,0,1.0,2020-02-12
22,48206,14840,1.444,2020-02-13
23,54406,6200,1.128,2020-02-14
24,56249,1843,1.033,2020-02-15
25,58182,1933,1.034,2020-02-16
26,59989,1807,1.031,2020-02-17
27,61682,1693,1.028,2020-02-18
28,62031,349,1.005,2020-02-19
29,62442,411,1.006,2020-02-20
30,62662,220,1.003,2020-02-21
31,64084,1422,1.022,2020-02-22
32,64084,0,1.0,2020-02-23
33,64287,203,1.003,2020-02-24
34,64786,499,1.007,2020-02-25
35,65187,401,1.006,2020-02-26
36,65596,409,1.006,2020-02-27
37,65914,318,1.004,2020-02-28
38,66337,423,1.006,2020-02-29
39,66907,570,1.008,2020-03-01
40,67103,196,1.002,2020-03-02
41,67217,114,1.001,2020-03-03
42,67332,115,1.001,2020-03-04
43,67466,134,1.001,2020-03-05
44,67592,126,1.001,2020-03-06
45,67666,74,1.001,2020-03-07
46,67707,41,1.000,2020-03-08
47,67743,36,1.000,2020-03-09
48,67760,17,1.000,2020-03-10
49,67773,13,1.000,2020-03-11
50,67781,8,1.000,2020-03-12
51,67786,5,1.000,2020-03-13
52,67790,4,1.000,2020-03-14
53,67794,4,1.000,2020-03-15
54,67798,4,1.000,2020-03-16
55,67799,1,1.000,2020-03-17
56,67800,1,1.000,2020-03-18
57,67800,0,1.0,2020-03-19
58,67800,0,1.0,2020-03-20
59,67800,0,1.0,2020-03-21
60,67800,0,1.0,2020-03-22
61,67800,0,1.0,2020-03-23
62,67801,1,1.000,2020-03-24
63,67801,0,1.0,2020-03-25
64,67801,0,1.0,2020-03-26
65,67801,0,1.0,2020-03-27
66,67801,0,1.0,2020-03-28
67,67801,0,1.0,2020-03-29
