day,cases,cases_new,growth,date
0,4,4,1.0,2020-01-22
1,9,5,2.25,2020-01-23
2,24,15,2.666,2020-01-24
3,43,19,1.791,2020-01-25
4,69,26,1.604,2020-01-26
5,100,31,1.449,2020-01-27
6,143,43,1.43,2020-01-28
7,221,78,1.545,2020-01-29
8,277,56,1.253,2020-01-30
9,332,55,1.198,2020-01-31
10,389,57,1.171,2020-02-01
11,463,74,1.190,2020-02-02
12,521,58,1.125,2020-02-03
13,593,72,1.138,2020-02-04
14,661,68,1.114,2020-02-05
15,711,50,1.075,2020-02-06
16,772,61,1.085,2020-02-07
17,803,31,1.040,2020-02-08
18,838,35,1.043,2020-02-09
19,879,41,1.048,2020-02-10
20,912,33,1.037,2020-02-11
21,946,34,1.037,2020-02-12
22,968,22,1.023,2020-02-13
23,988,20,1.020,2020-02-14
24,1001,13,1.013,2020-02-15
25,1004,3,1.002,2020-02-16
26,1006,2,1.001,2020-02-17
27,1007,1,1.000,2020-02-18
28,1008,1,1.000,2020-02-19
29,1010,2,1.001,2020-02-20
30,1011,1,1.000,2020-02-21
31,1013,2,1.001,2020-02-22
32,1016,3,1.002,2020-02-23
33,1016,0,1.0,2020-02-24
34,1016,0,1.0,2020-02-25
35,1016,0,1.0,2020-02-26
36,1017,1,1.000,2020-02-27
37,1017,0,1.0,2020-02-28
38,1018,1,1.000,2020-02-29
39,1018,0,1.0,2020-03-01
40,1018,0,1.0,2020-03-02
41,1018,0,1.0,2020-03-03
42,1018,0,1.0,2020-03-04
43,1018,0,1.0,2020-03-05
44,1018,0,1.0,2020-03-06
45,1018,0,1.0,2020-03-07
46,1018,0,1.0,2020-03-08
47,1018,0,1.0,2020-03-09
48,1018,0,1.0,2020-03-10
49,1018,0,1.0,2020-03-11
50,1018,0,1.0,2020-03-12
51,1018,0,1.0,2020-03-13
52,1018,0,1.0,2020-03-14
53,1018,0,1.0,2020-03-15
54,1018,0,1.0,2020-03-16
55,1018,0,1.0,2020-03-17
56,1018,0,1.0,2020-03-18
57,1018,0,1.0,2020-03-19
58,1018,0,1.0,2020-03-20
59,1018,0,1.0,2020-03-21
