day,cases,cases_new,growth,date
2,1,1,1.0,2020-01-24
3,7,6,7.0,2020-01-25
4,7,0,1.0,2020-01-26
5,11,4,1.571,2020-01-27
6,15,4,1.363,2020-01-28
7,16,1,1.066,2020-01-29
8,19,3,1.187,2020-01-30
9,20,1,1.052,2020-01-31
10,23,3,1.15,2020-02-01
11,27,4,1.173,2020-02-02
12,34,7,1.259,2020-02-03
13,35,1,1.029,2020-02-04
14,42,7,1.2,2020-02-05
15,46,4,1.095,2020-02-06
16,50,4,1.086,2020-02-07
17,52,2,1.04,2020-02-08
18,54,2,1.038,2020-02-09
19,58,4,1.074,2020-02-10
20,58,0,1.0,2020-02-11
21,60,2,1.034,2020-02-12
22,61,1,1.016,2020-02-13
23,65,4,1.065,2020-02-14
24,68,3,1.046,2020-02-15
25,70,2,1.029,2020-02-16
26,72,2,1.028,2020-02-17
27,73,1,1.013,2020-02-18
28,75,2,1.027,2020-02-19
29,75,0,1.0,2020-02-20
30,75,0,1.0,2020-02-21
31,75,0,1.0,2020-02-22
32,75,0,1.0,2020-02-23
33,75,0,1.0,2020-02-24
34,75,0,1.0,2020-02-25
35,75,0,1.0,2020-02-26
36,75,0,1.0,2020-02-27
37,75,0,1.0,2020-02-28
38,75,0,1.0,2020-02-29
39,75,0,1.0,2020-03-01
40,75,0,1.0,2020-03-02
41,75,0,1.0,2020-03-03
42,75,0,1.0,2020-03-04
43,75,0,1.0,2020-03-05
44,75,0,1.0,2020-03-06
45,75,0,1.0,2020-03-07
46,75,0,1.0,2020-03-08
47,75,0,1.0,2020-03-09
48,75,0,1.0,2020-03-10
49,75,0,1.0,2020-03-11
50,75,0,1.0,2020-03-12
51,75,0,1.0,2020-03-13
52,75,0,1.0,2020-03-14
53,75,0,1.0,2020-03-15
54,75,0,1.0,2020-03-16
55,75,0,1.0,2020-03-17
56,75,0,1.0,2020-03-18
57,75,0,1.0,2020-03-19
58,75,0,1.0,2020-03-20
59,75,0,1.0,2020-03-21
60,75,0,1.0,2020-03-22
61,75,0,1.0,2020-03-23
62,75,0,1.0,2020-03-24
63,77,2,1.026,2020-03-25
64,89,12,1.155,2020-03-26
65,92,3,1.033,2020-03-27
66,94,2,1.021,2020-03-28
67,95,1,1.010,2020-03-29
