day,cases,cases_new,growth,date
0,1,1,1.0,2020-01-22
1,5,4,5.0,2020-01-23
2,9,4,1.8,2020-01-24
3,18,9,2.0,2020-01-25
4,33,15,1.833,2020-01-26
5,47,14,1.424,2020-01-27
6,70,23,1.489,2020-01-28
7,99,29,1.414,2020-01-29
8,129,30,1.303,2020-01-30
9,168,39,1.302,2020-01-31
10,202,34,1.202,2020-02-01
11,236,34,1.168,2020-02-02
12,271,35,1.148,2020-02-03
13,308,37,1.136,2020-02-04
14,341,33,1.107,2020-02-05
15,373,32,1.093,2020-02-06
16,408,35,1.093,2020-02-07
17,439,31,1.075,2020-02-08
18,468,29,1.066,2020-02-09
19,492,24,1.051,2020-02-10
20,515,23,1.046,2020-02-11
21,543,28,1.054,2020-02-12
22,570,27,1.049,2020-02-13
23,593,23,1.040,2020-02-14
24,604,11,1.018,2020-02-15
25,617,13,1.021,2020-02-16
26,626,9,1.014,2020-02-17
27,629,3,1.004,2020-02-18
28,631,2,1.003,2020-02-19
29,631,0,1.0,2020-02-20
30,631,0,1.0,2020-02-21
31,631,0,1.0,2020-02-22
32,631,0,1.0,2020-02-23
33,631,0,1.0,2020-02-24
34,631,0,1.0,2020-02-25
35,631,0,1.0,2020-02-26
36,631,0,1.0,2020-02-27
37,631,0,1.0,2020-02-28
38,631,0,1.0,2020-02-29
39,631,0,1.0,2020-03-01
40,631,0,1.0,2020-03-02
41,631,0,1.0,2020-03-03
42,631,0,1.0,2020-03-04
43,631,0,1.0,2020-03-05
44,631,0,1.0,2020-03-06
45,631,0,1.0,2020-03-07
46,631,0,1.0,2020-03-08
47,631,0,1.0,2020-03-09
48,631,0,1.0,2020-03-10
49,631,0,1.0,2020-03-11
50,631,0,1.0,2020-03-12
51,631,0,1.0,2020-03-13
52,631,0,1.0,2020-03-14
53,631,0,1.0,2020-03-15
54,631,0,1.0,2020-03-16
55,631,0,1.0,2020-03-17
56,631,0,1.0,2020-03-18
57,631,0,1.0,2020-03-19
58,631,0,1.0,2020-03-20
59,631,0,1.0,2020-03-21
